Song,Artist,Popularity,BPM,Time,Dance,Energy,Acoustic,Happy,Live,Loud (Db),Camelot,Artist_Clean,Song_Clean,Genre Tags,lyrics,time_seconds,time_bucket
Shipbuilding,Elvis Costello & The Attractions,43,143,04:52,36,30,73,17,10,-14,9B,Elvis Costello & The Attractions,Shipbuilding,"singer-songwriter, 80s, new wave, rock, elvis costello","Is it worth it?
A new winter coat and shoes for the wife
And a bicycle on the boy's birthday
It's just a rumor that was spread around town
By the women and children
Soon we'll be shipbuilding

Well I ask you
The boy said, ""Dad they're going to take me to task
But I'll be back by Christmas""
It's just a rumor that was spread around town
Somebody said that someone got filled in
For saying that people get killed in
The result of this shipbuilding

With all the will in the world
Diving for dear life
When we could be diving for pearls


It's just a rumor that was spread around town
A telegram or a picture postcard
Within weeks they'll be re-opening the shipyard
And notifying the next of kin
Once again

It's all we're skilled in
We will be shipbuilding
With all the will in the world
Diving for dear life
When we could be diving for pearls


It's all we're skilled in
We will be shipbuilding
With all the will in the world
Diving for dear life
When we could be diving for pearls
When we could be diving for pearls
When we could be diving for pearls",292,290
Midnight Sky,Miley Cyrus,74,110,03:43,70,81,0,23,20,-6,9A,Miley Cyrus,Midnight Sky,"pop, synthpop, pop rock, Disco, rock","La, la, la-la, la

Yeah, it's been a long night and the mirror's telling me to go home
But it's been a long time since I felt this good on my own (Uh)
Lotta years went by with my hands tied up in your ropes (Your ropes)
Forever and ever, no more (No more)

The midnight sky is the road I'm takin'
Head high up in the clouds (Oh, oh)

I was born to run, I don't belong to anyone, oh no
I don't need to be loved by you (By you)
Fire in my lungs, can't bite the devil on my tongue, oh no
I don't need to be loved by you
See my lips on her mouth, everybody's talkin' now, baby
Ooh, you know it's true (Yeah)
That I was born to run, I don't belong to anyone, oh no
I don't need to be loved by you (Loved by you)

La, la, la-la, la

She got her hair pulled back 'cause the sweat's drippin' off of her face (Her face)
Said, ""It ain't so bad if I wanna make a couple mistakes""
You should know right now that I never stay put in one place
Forever and ever, no more (No more)

The midnight sky is the road I'm takin'
Head high up in the clouds (Oh, oh)

I was born to run, I don't belong to anyone, oh no
I don't need to be loved by you (By you)
Fire in my lungs, can't bite the devil on my tongue, oh no
I don't need to be loved by you
See my lips on her mouth, everybody's talkin' now, baby
Ooh, you know it's true (Yeah)
That I was born to run, I don't belong to anyone, oh no
I don't need to be loved by you (By you)

Oh
I don't hide blurry eyes like you
Like you

I was born to run, I don't belong to anyone, oh no
I don't need to be loved by you (By you)
Fire in my lungs, can't bite the devil on my tongue, you know
I don't need to be loved by you
See his hands 'round my waist, thought you'd never be replaced, baby
Ooh, you know it's true (Yeah)
That I was born to run, I don't belong to anyone, oh no
I don't need to be loved by you (Yeah)

La, la, la-la, la
La, la
You know it's true, you know it's true
Loved by you",223,220
Just A Girl,No Doubt,77,108,03:29,64,91,7,77,10,-5,10B,No Doubt,Just A Girl,"rock, 90s, pop, alternative, ska","Take this pink ribbon off my eyes
I'm exposed, and it's no big surprise
Don't you think I know exactly where I stand?
This world is forcing me to hold your hand

'Cause I'm just a girl, oh, little old me
Well, don't let me out of your sight
Oh, I'm just a girl, all pretty and petite
So don't let me have any rights

Oh, I've had it up to here

The moment that I step outside
So many reasons for me to run and hide
I can't do the little things I hold so dear
'Cause it's all those little things that I fear

'Cause I'm just a girl, I'd rather not be
'Cause they won't let me drive late at night
Oh, I'm just a girl, guess I'm some kind of freak
'Cause they all sit and stare with their eyes
Oh, I'm just a girl, take a good look at me
Just your typical prototype

Oh, I've had it up to here
Oh, am I making myself clear?

I'm just a girl
I'm just a girl in the world
That's all that you'll let me be

Oh, I'm just a girl, living in captivity
Your rule of thumb makes me worrisome
Oh, I'm just a girl, what's my destiny?
What I've succumbed to is making me numb
Oh, I'm just a girl, my apologies
What I've become is so burdensome
Oh, I'm just a girl, lucky me
Twiddle-dum, there's no comparison

Oh, I've had it up to
Oh, I've had it up to
Oh, I've had it up to here",209,200
Feeling Myself,"Nicki Minaj,Beyoncé",60,102,03:57,61,70,44,49,30,-5,10B,Nicki Minaj,Feeling Myself,"Hip-Hop, rnb, rap, beyonce, hip hop","Yo, B, they ready
Let's go

Feelin' myself, I'm feelin' myself, I'm feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my

I'm with some hood girls lookin' back at it
And a good girl in my tax bracket
Got a black card that'll let Saks have it
These Chanel bags is a bad habit
I-I do balls, Dal Mavericks
My Maybach, black matted
Bitch, never left but I'm back at it
And I'm feelin' myself, jack rabbit
Feelin' myself, back off
'Cause I'm feelin' myself, jack off
He be thinkin' 'bout me when he whacks off
Wax on? Wax off
Na-na-national anthem, hats off
Then I curve that nigga, like a bad toss
Let me get a number two with some Mac sauce
""On The Run Tour"" with my mask off

I'm feelin' myself, I'm feelin' myself, I'm feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my

Changed the game with that digital drop
Know where you was when that digital popped
I stopped the world
Male or female, it make no difference
I stop the world
World, stop
Carry on

Kitty on fleek (Ooh), pretty on fleek (Uh)
Pre-pre-pretty gang always keep them niggas on geek (Ooh)
Ridin'-ridin' through Texas (Texas), feed him for his breakfast (Breakfast)
Everytime I whip it, I be talkin' so reckless
He said, ""Damn, Nicki, it's tight,"" I-I say, ""Yeah, nigga, you right""
He said, ""Damn, bae, you so little, but you be really takin' that pipe""
I said, ""Yes, daddy, I do, gimme brain like NYU""
I said, ""Teach me, nigga, teach me, all this learnin' here is by you"" (Uh)

I'm whippin' that work, he diggin' that work
I got it, thirty-six of that real
Panky full of that bounce, baby
Come get you some of that bounce, baby

I'm feelin' myself, I'm feelin' myself, I'm feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my
Feelin' myself, I'm feelin' myself, I'm feelin' my
Feelin' myself, I'm feelin' myself, I'm killin' my

Cookin' up that base (Base), lookin' like a kilo (Kilo)
He just wanna taste (Taste), biggin' up my ego
(Ego, ego, ego, ego, ego, ego, ego, ego)
(Ridin'-ridin' through Texas, ridin'-ridin' through Texas, ridin'-ridin' through Texas)
Smoke it all off, talkin' bout that high-grade (High-grade)
Baby, hold up, I can kill your migraine
(Migraine, migraine, migraine, migraine, migraine, migraine, migraine, migraine)
(Ridin'-ridin' through Texas, ridin'-ridin' through Texas, ridin'-ridin' through Texas)

Bitches ain't got punchlines or flow (He in love)
I have both and an empire also (In love)
Keep gettin' gifts from Santa Claus at the North Pole (In love)
Today I'm icy, but I'm prayin' for some more snow
Let that ho, ho, let-let-let that ho know (He in love)
He in love with that coco
Why-why-why-why these bitches don't never be learnin'?
You bitches will never get what I be earnin'
I'm still gettin' plaques from my records that's urban
Ain't gotta rely on Top 40
I am a rap legend, just go ask the Kings of Rap
Who is the Queen and things of that nature?
Look at my finger, that is a glacier, hits like a laser (Rrr)
Drippin' on that work, trip-trippin' off that Perc'
Flip-flip-flippin' up my skirt and I be whippin' all that work
Takin' trips with all them ki's (Ki's), car keys got B's
Stingin' with the Queen B and we be whippin' all of that D
'Cause we dope girls, we flawless, we the poster girls for all this
We run around with them ballers, only real niggas in my call list
I'm-I'm-I'm-I'm the big kahuna, go let them whores know
Just on this song alone, bitch is on her fourth flow

Rrr
You like it, don't ya? Snitches
Young Money",237,230
Passionfruit,Drake,87,112,04:58,81,46,26,36,10,-11,1B,Drake,Passionfruit,"MySpotigramBot, rnb, tropical house, dancehall, chill","Hold on, hold on, fuck that
Fuck that shit
Hold on, I got to start this motherfuckin' record over again, wait a minute
Fuck that shit
Still on this motherfuckin’ record
I'ma play this motherfucker for y'all
Ayy, y’all get some more drinks goin' on
I'll sound a whole lot better

Listen
Seein' you got ritualistic
Cleansin' my soul of addiction for now
'Cause I'm fallin' apart, yeah
Tension
Between us just like picket fences
You got issues that I won’t mention for now
’Cause we're fallin’ apart

Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can’t blame you, no, no

Listen
Harder buildin' trust from a distance
I think we should rule out commitment for now
'Cause we're fallin' apart
Leavin'
You're just doing that to get even
Don't pick up the pieces, just leave it for now
They keep fallin' apart

Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no
Passionate from miles away
Passive with the things you say
Passin' up on my old ways
I can't blame you, no, no

Um, trying to think of the right thing to say",298,290
Venice Bitch,Lana Del Rey,68,78,09:37,37,29,91,31,10,-13,8A,Lana Del Rey,Venice Bitch,"dream pop, rock, psychedelic, Neo-Psychedelia, alternative","Fear fun, fear love
Fresh out of fucks forever
Tryin' to be stronger for you
Ice cream, ice queen
I dream in jeans and leather
Live stream, I'm sweet for you

Oh God, miss you on my lips
It's me, your little Venice bitch
On the stoop with the neighborhood kids
Callin' out, bang bang, kiss kiss
You're in the yard, I light the fire
And as the summer fades away
Nothing gold can stay
You write, I tour, we make it work
You're beautiful and I'm insane
We're American-made

Give me Hallmark
One dream, one life, one lover
Paint me happy in blue
Norman Rockwell
No hype under our covers
It's just me and you

Oh God, miss you on my lips
It's me, your little Venice bitch
On the stoop with the neighborhood kids
Callin' out, bang bang, kiss kiss

You're in the yard, I light the fire
And as the summer fades away
Nothing gold can stay
You write, I tour, we make it work
You're beautiful and I'm insane
We're American-made

Oh (Yeah), oh (Yeah), oh (Yeah)
Signin' off, bang bang, kiss kiss
Oh (Yeah), oh (Yeah), oh (Yeah)
Signin' off, bang bang, kiss kiss

Oh God, want you on my lips (I do, I do)
It's me, your little Venice bitch (Yes, it is)
On the stoop with the neighborhood kids
Signin' off, bang bang, kiss kiss

Oh, ciao (Yeah), oh, ciao (Yeah, yeah), oh, ciao (Yeah)
(Signin' off, bang bang, kiss kiss)
Yeah (Yeah), oh (Yeah), oh (Yeah)
(Signin' off, bang bang, kiss kiss)
Yeah, yeah

You heard my baby's back in town now
You should come, come over
We'll be hanging around now
You should come, come over

Oh God, I love him on my lips
It's me, your little Venice bitch
Touch me with your fingertips
It's me, your little Venice bitch

Back, back in the garden
We're getting high now because we're older
Me myself, I like diamonds
My baby, crimson and clover

(La-la-la-la-la-la, losers, beautiful losers)
(La-la-la-la-la-la, losers, beautiful, losers)
Wha-wha-wha-wha-whatever
Everything, whatever
Wha-wha-wha-wha-whatever
Everything, whatever


Ah, ah
Ah, ah
Ah yeah, ah yeah
(La-la-la-la-la-la, losers, beautiful losers)
Ah yeah, ah
(La-la-la-la-la-la, losers, beautiful losers)
La-la-la-la-la-la, losers (Ciao), beautiful losers (Ciao)
La-la-la-la-la-la, losers (Ciao), beautiful losers (Ciao)
La-la-la-la-la-la, losers, beautiful losers
La-la-la-la-la-la, losers, beautiful losers

Back in the garden
We're getting high now because we're older
Me myself, I like diamonds
My baby, crimson and clover

Crimson and clover, honey
Crimson and clover, honey
Crimson and clover, honey
Crimson and clover, honey
Crimson and clover, honey
Crimson and clover, honey
Over and over, honey
Over and over, honey
Over and over, honey
Over and over, honey
Over and over


If you weren't mine, I'd be
Jealous of your love
If you weren't mine, I'd be
Jealous of your love
If you weren't mine, I'd be
Jealous of your love
If you weren't mine, I'd be
Jealous of your love
If you weren't mine, I'd be
Jealous of your love",577,570
Into You,Ariana Grande,76,108,04:04,62,73,2,37,10,-6,11B,Ariana Grande,Into You,"pop, best of 2016, dance-pop, love at first listen, dance","I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough till we cross the line, hey-yeah
So name a game to play, and I'll roll the dice, hey

Oh, baby, look what you started
The temperature's risin' in here
Is this gonna happen?
Been waitin' and waitin' for you to make a move (Ooh)
Before I make a move (Ooh)

So baby, come light me up
And baby, I'll let you on it
A little bit dangerous
But baby, that's how I want it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us
So baby, let's keep it secret
A little bit scandalous
But baby, don't let them see it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you

Ooh, yeah
This could take some time, hey
Made too many mistakes
Better get this right
Right, baby

Oh, baby, look what you started
The temperature's risin' in here
Is this gonna happen?
Been waitin' and waitin' for you to make a move (Ooh)
Before I make a move (Ooh)

So, baby, come light me up
And baby, I'll let you on it
A little bit dangerous
But baby, that's how I want it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us
So baby, let's keep it secret (Mm)
A little bit scandalous
But baby, don't let them see it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you ('Cause I'm so into you)

Tell me what you came here for
'Cause I can't, I can't wait no more
I'm on the edge of no control
And I need, I need you to know, you to know
Oh-woah, yeah

So, baby, come light me up (Light me up)
And baby, I'll let you on it
A little bit dangerous (Little dangerous)
But baby, that's how I want it (How I want it)
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you (No, ayy)
Got everyone watchin' us (Watchin' us)
So baby, let's keep it secret
A little bit scandalous (Scandalous)
But baby, don't let them see it (Yeah)
A little less conversation (Yeah) and a
Little more touch my body
'Cause I'm so into you, into you, into you (Ooh, ooh)

So, come light me up
So, come light me up, my baby
Little dangerous
A little dangerous, my boy (How I want it)
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you (I'm so into you)",244,240
When We Were Young,Adele,75,144,04:50,38,60,30,27,10,-6,5B,Adele,When We Were Young,"soul, Ballad, pop, british, 2015","Everybody loves the things you do
From the way you talk to the way you move
Everybody here is watching you
'Cause you feel like home, you're like a dream come true
But, if by chance, you're here alone
Can I have a moment before I go?
'Cause I've been by myself all night long
Hoping you're someone I used to know

You look like a movie, you sound like a song
My God, this reminds me of when we were young

Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song

I was so scared to face my fears
Nobody told me that you'd be here
And I swear you'd moved overseas
That's what you said when you left me

You still look like a movie, you still sound like a song
My God, this reminds me of when we were young

Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song

(When we were young)
(When we were young)
(When we were young)
(When we were young)

It's hard to admit that (When we were young)
Everything just takes me back (When we were young)
To when you were there (When we were young)
To when you were there
And a part of me keeps holding on (When we were young)
Just in case it hasn't gone (When we were young)
I guess I still care (When we were young)
Do you still care?

It was just like a movie, it was just like a song
My God, this reminds me of when we were young
(When we were young)
(When we were young)
(When we were young)
(When we were young)

Let me photograph you in this light in case it is the last time
(When we were young, when we were young)
That we might be exactly like we were before we realised
(When we were young, when we were young)
We were sad of getting old, it made us restless
(When we were young, when we were young)
Oh, I'm so mad I'm getting old, it makes me reckless
(When we were young, when we were young)
It was just like a movie, it was just like a song
When we were young",290,290
7/11,Beyoncé,74,136,03:33,75,71,1,56,10,-5,8A,Beyoncé,7/11,"clap clap clap, trap, twerk, twerk anthem, Slay","Shoulders sideways, smack it, smack it in the air
Legs movin' side to side, smack it in the air
Legs movin' side to side, smack you in the air
Shoulders sideways, smack it, smack it in the air
Smack it, smack it in the air (Air), legs movin' side to side (Yeah)
Smack it, smack it in the air, smack it, smack it in the air
(Wave your)

Wave your hands side to side, put it in the air (In the air)
Wave your hands side to side, put it in the air (To side, to side, to side)
Clap, clap, clap, like you don't care (To side, to side, to side)
Smack that, clap, clap, clap, like you don't care
(I know you care)

Clap, clap, clap, clap, clap it (Clap it, clap it, clap it, foot up)
Foot up, my foot up (Woo), hold up now my foot up (Spinnin')
I'm spinnin' my foot up, foot up, yeah, my foot up (Spinnin')
I'm spinnin' my foot up, put my foot down, yeah, my hands up (Hands up)
My hands up, my hands up (Flexin'), flexin' while my hands up (Flexin')
My hands up, my hands up, I stand up with my hands up
Then I put up, my hands up (Put up), I put up, my hands up (Air)
I put up, my hands up then I'm spinnin' all my hands up (Spinnin')
Spinnin' while my hands up (Spinnin'), spinnin' while my hands up (I'm spinnin')
Spinnin' while my hands up then I'm tippin' all my hands up
I'm spinnin', I'm spinnin', I'm spinnin' while my hands up (Spinnin')
I'm spinnin', I'm spinnin', I'm spinnin' while my hands up
(Drank)

Hold that cup like alcohol, hold that cup like alcohol (Drank)
Hold that cup like alcohol, don't you drop that alcohol (Drank)
Never drop that alcohol, never drop that alcohol (Drank)
I know you thinkin' about alcohol, I know I'm thinkin' bout that alcohol (Dice)

Man, this here like rollin' dice, man, this here like rollin' dice (Dice)
Seven eleven, seven eleven, seven twice, man, seven twice
Man, it feel like rollin' dice (Dice), man, this feel like rollin' dice (Dice)
Man, it feel like rollin' dice (Dice), seven twice, seven twice (Kick it)
Girl, I'm tryna kick it with ya (Girl), girl, I'm tryna kick it with ya (Man)
Man, I'm tryna kick it with ya, my feet up, I kick it with ya (Man)
Man, I swear I kick it with ya (Girl), girl, I wanna kick it with ya (Man)
Man, I know I kick it with ya, yeah, I spin around and I kick it with ya

Shoulders sideways, smack it, smack it in the air (Move the leg)
Legs movin' side to side, smack it in the air (To side, to side, to side, move the leg)
Legs movin' side to side, smack it in the air (To side, to side)
Shoulders movin' side to side, smack it in the air (Smack it, ho)
Smack it in the air (Smack it), smack it, smack it in the air (To side, to side, to side, smack it, ho)
Smack it in the air, smack it, smack it in the air (Air)

Wave your hands side to side, put it in the air (In your air)
Wave your hands side to side, put it in the air (To side, to side, to side)
Clap, clap, clap, like you don't care (To side, to side, to side)
Smack that, clap, clap, clap, like you don't care
(I know you care)

Ooh, you care
I know you care, care
Wave ya hands side to side (Grind)
Wave ya hands side to side (Grind)
Wave ya hands from side to side (Grind)
Wave ya hands side to side (Ahaha)
Ooh, wee BB freaky deaky, think me see she pink bikini
Rock that kufi, dye dashiki, Nefertiti, edges kinky
Sweatin' out my blow out, sweatin' out my presses
This trick about to go off, mad 'cause I'm so fresh
Fresher than you, I'm fresher than you
Fresher than you, oh",213,210
Not,Big Thief,67,140,06:07,42,79,10,54,10,-7,1B,Big Thief,Not,"indie rock, folk rock, indie, rock, noise rock","It's not the energy reeling
Nor the lines in your face
Nor the clouds on the ceiling
Nor the clouds in space
It's not the phone on the table
Nor the bed in the earth
Nor the bed in the stable
Nor your stable words
It's not the formless being
Nor the cry in the air
Nor the boy I'm seeing
With her long black hair
It's not the open weaving
Nor the furnace glow
Nor the blood of you bleeding
As you try to let go

It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat

Not the meat of your thigh
Nor your spine tattoo
Nor your shimmery eye
Nor the wet of the dew
It's not the warm illusion
Nor the crack in the plate
Nor the breath of confusion
Nor the starkness of slate

It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat

Not what you really wanted
Nor the mess in your purse
Nor the bed that is haunted
With the blanket of thirst
It's not the hunger revealing
Nor the ricochet in the cave
Nor the hand that is healing
Nor the nameless grave

It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat
Not to die
Not dying
Not to laugh
Not lying
Not the vacant wilderness vying
Not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning",367,360
Shit Talk,Sufjan Stevens,49,160,08:31,32,40,93,23,10,-10,12A,Sufjan Stevens,Shit Talk,"ambient, indie folk, chamber folk, singer-songwriter, folktronica","No more fighting
No more talking shit
Do as I say, not as I give up
Not as I've failed to live
In the future there will be a terrible cost
For all that we've left undone
Deliver me from everything I've put off
And all that we've lost
I will always love you
But I cannot live with you

Ooh, ooh-ooh, ooh-ooh, ooh-ooh-ooh, ooh
I will always love you
Ooh, ooh-ooh, ooh-ooh, ooh-ooh-ooh, ooh

No more fighting
I've nothing left to give
I've nothing but atrophy
Did I cross you?
Did I fail to believe in positive thoughts?
Our romantic second chance is dead
I buried it with the hatchet
Quit your antics
Put them at the foot of the bed
And set it on fire
I will always love you
But I cannot look at you

Ooh, ooh-ooh, ooh-ooh, ooh-ooh-ooh, ooh
I will always love you
Ooh, ooh-ooh, ooh-ooh, ooh-ooh-ooh, ooh
I will always love you
Ooh, ooh-ooh, ooh-ooh, ooh-ooh-ooh, ooh
I will always love you

Hold me closely
Hold me tightly, lest I fall
Hold me closely
Hold me tightly, lest I fall
Hold me closely
Hold me tightly, lest I fall
Hold me closely
Hold me tightly, lest I fall
Hold me closely
Hold me tightly, lest I fall
Hold me closely
Hold me tightly, lest I fall
(I will always love you)
Hold me closely
Hold me tightly, lest I fall
(I will always love you)
Hold me closely
Hold me tightly, lest I fall


No, I don't wanna fight at all
No, I don't wanna fight at all
No, I don't wanna fight at all
No, I don't wanna fight at all
No, I don't wanna fight at all
I don't wanna fight at all
No, I don't wanna fight at all
I don't wanna fight at all
(No, I don't wanna fight at all, no, I don't wanna fight at all)
I don't wanna fight at all
(No, I don't wanna fight at all, no, I don't wanna fight at all)
I don't wanna fight at all
(No, I don't wanna fight at all, no, I don't wanna fight at all)
(I don't wanna fight at all) I don't wanna fight at all
(I don't wanna fight at all)
(No, I don't wanna fight at all, no, I don't wanna fight at all)
(I don't wanna fight at all) I don't wanna fight at all
(I don't wanna fight at all)
I will always love you (No, I don't wanna fight at all)
(No, I don't wanna fight at all) (I don't wanna fight at all)
I don't wanna fight at all (I don't wanna fight at all)
I will always love you (No, I don't wanna fight at all)
(No, I don't wanna fight at all) (I don't wanna fight at all)
I don't wanna fight at all (I don't wanna fight at all)
I will always love you (No, I don't wanna fight at all)
(No, I don't wanna fight at all) (I don't wanna fight at all)
I don't wanna fight at all (I don't wanna fight at all)
I will always love you (No, I don't wanna fight at all)
(No, I don't wanna fight at all) (I don't wanna fight at all)
I don't wanna fight at all (I don't wanna fight at all)
And I will always love you",511,510
Love More,Sharon Van Etten,37,140,05:14,27,13,28,4,0,-11,3B,Sharon Van Etten,Love More,"folk, indie, check out, beautiful and ohso tragic, pxs: loved","Chained
To the wall of our room
Yeah, you chained me like a dog in our room
I thought that's how it was
I thought that we were fine
Then the day was night
You were high, you were high when I was doomed
And dying for...
With no life, with no light
Tied to my bed
I was younger then
I had nothing to spend but time on you
But it made me love, it made me love, it made me love more
It made me love, it made me love, it made me love more
Do what you said
The words she said left out
Over into the sky where I'll soon fly
And she took the time to believe in, to believe in what she said
She made me love, she made me love, she made me love more
She made me love, she made me love, she made me love more",314,310
Train Under Water,Bright Eyes,41,123,06:06,39,53,13,36,10,-9,3B,Bright Eyes,Train Under Water,"indie, folk, singer-songwriter, acoustic, alternative","You were born inside of a raindrop
I watched you falling to your death
And the sun, well, she could not save you
She'd fallen down too, now the streets are wet

Body of water, toxic and timeless
Atlantic Ocean, New York skyline
I always get lost when I leave the village
So I couldn't come meet you in Brooklyn last night

But I sing glory from my lowest
And I will say peace to the people I meet
While the world waits for an explosion
That instant of life that wipes the slate clean

So don't be fooled, no, don't get lied to
Love was always cruel
And don't act strange, don't be a stranger
It happened to me, now it's happening to you
But if you take that train under water then we could talk it through


Well if I could tame all of my desires
Wait out the weather that howls in my brain
Because it seems that it's always changing
The wind's indecision, the sorrowful rain

Yeah, I was a postcard, I was a record
I was a camera until I went blind
And now I'm riding all over this island
Looking for something to open my eyes

But I still sing glory from my high rise
And I will say thanks if you're pouring my drinks
While the world waits for an explosion
That moment in time when we'll be set free

So don't stay mad, just let some time pass
And in the morning you'll wake feeling new
And if I don't come back, I mean, if I get side tracked
It's only cause I wanted to
I'm keeping up with the moon on an all-night avenue",366,360
Mama,My Chemical Romance,68,209,04:39,24,80,1,30,0,-5,9A,My Chemical Romance,Mama,"rock, emo, alternative rock, punk rock, alternative","Mama, we all go to Hell
Mama, we all go to Hell
I'm writing this letter and wishing you well
Mama, we all go to Hell
Oh well, now, Mama, we're all gonna die
Mama, we're all gonna die
Stop asking me questions, I'd hate to see you cry
Mama, we're all gonna die

And when we go, don't blame us, yeah
We'll let the fires just bathe us, yeah
You made us oh so famous
We'll never let you go
And when you go, don't return to me, my love

Mama, we're all full of lies
Mama, we're meant for the flies
And right now, they're building a coffin your size
Mama, we're all full of lies

Well, mother, what the war did to my legs and to my tongue
You should've raised a baby girl, I should've been a better son
If you could coddle the infection, they can amputate at once
You should've been, I could have been a better son

And when we go, don't blame us, yeah
We'll let the fires just bathe us, yeah
You made us oh so famous
We'll never let you go

She said, ""You ain't no son of mine
For what you've done, they're gonna find
A place for you and just you mind your manners when you go
And when you go, don't return to me, my love,"" that's right

Mama, we all go to Hell
Mama, we all go to Hell
It's really quite pleasant except for the smell
Mama, we all go to Hell (One, two, three, four)
Mama, Mama, Mama
Mama, Mama, Mama, Ma

""And if you would call me a sweetheart
I'd maybe then sing you a song""
But there's shit that I've done with this fuck of a gun
You would cry out your eyes all along

We're damned after all
Through fortune and flame, we fall
And if you can stay, then I'll show you the way
To return from the ashes you call
We all carry on (We all carry on)
When our brothers in arms are gone (When our brothers in arms are gone)
So raise your glass high, for tomorrow, we die
And return from the ashes you call",279,270
Pale Blue Eyes,The Velvet Underground,66,83,05:39,64,11,91,30,10,-19,7B,The Velvet Underground,Pale Blue Eyes,"classic rock, 60s, rock, Mellow, psychedelic","Sometimes I feel so happy
Sometimes I feel so sad
Sometimes I feel so happy
But mostly, you just make me mad
Baby, you just make me mad

Linger on your pale blue eyes
Linger on your pale blue eyes

Thought of you as my mountaintop
Thought of you as my peak
Thought of you as everything
I've had but couldn't keep
I've had but couldn't keep

Linger on your pale blue eyes
Linger on your pale blue eyes

If I could make the world as pure
And strange as what I see
I'd put you in the mirror
I put in front of me
I put in front of me

Linger on your pale blue eyes
Linger on your pale blue eyes

Skip a life completely
Stuff it in a cup
She said, ""Money is like us in time
It lies but can't stand up
Down for you is up""

Linger on your pale blue eyes
Linger on your pale blue eyes

It was good what we did yesterday
And I'll do it once again
The fact that you are married
Only proves you're my best friend
But it's truly, truly a sin

Linger on your pale blue eyes
Linger on your pale blue eyes",339,330
Change (In the House of Flies),Deftones,83,142,04:59,27,85,0,18,10,-5,6A,Deftones,Change (In the House of Flies),"metal, rock, alternative, alternative rock, Deftones","I watched you change
Into a fly
I looked away
You were on fire

And I watched a change in you
It's like you never had wings
Now you feel so alive
I've watched you change

I took you home
Set you on the glass
I pulled off your wings
Then I laughed

And I watched a change in you
It's like you never had wings
Now you feel so alive
I've watched you change

It's like you never had wings
Ah, ah-ah-ah
Ah-ah-ah, ah-ah-ah
Ah-ah-ah, ah-ah

I look at the cross
Then I look away
Give you the gun
Blow me away

And I watched a change in you
It's like you never had wings
Now you feel so alive
I've watched you change
Now you feel alive
You feel alive
You feel alive
I've watched you change

It's like you never had wings
Ah, ah-ah-ah
Ah-ah-ah, ah-ah-ah
Ah-ah-ah, ah-ah
You've changed
You've changed
You've changed
Into a fly",299,290
