Song,Artist,Genre Tags,Tag Source
Ghost in the Machine (feat. Phoebe Bridgers),"SZA,Phoebe Bridgers","art pop, alternative rnb, Phoebe Bridgers, alternative, rnb",track
Who Is She ?,I Monster,"ambient, lounge, trip hop, dancing on frozen lakes, epic",track
Another Love,Tom Odell,"indie, singer-songwriter, british, pop, Another Love",track
Atlantis,Seafret,"british, duo, numetal, d, 2015 single",track
Shirt,SZA,"rnb, trap, pop rap, sza, alternative rnb",track
Fall In Love Alone,Stacey Ryan,"Awesome, my top songs, fefa loves it",track
Melting,Kali Uchis,"dream pop, pop soul, soul, sexy, female vocalists",track
Aces,dkj,,none
Those Eyes,New West,"my top songs, knoa owns this song",track
All Day I Dream About,Joe P,,none
cough drops,almost monday,,none
i haunt ur dreams,"hey, nothing","rock, polish, alternative, female vocalists, polish rock",artist
Tripping Over Air,Aidan Bissett,vaporwave,track
Boys,Hippo Campus,"indie, rock, indie rock, lovethatindiestuff",track
sunburn,almost monday,"indie, indie pop, colours, orange, album art",track
Snail (feat. Chloe Moriondo),"Cavetown,chloe moriondo","indie, indie pop, indie rock, bedroom pop",track
4 Minutes (feat. Justin Timberlake & Timbaland),"Madonna,Justin Timberlake,Timbaland","pop, dance, Madonna, female vocalists, electronic",track
Stuck Between,Dutch Criminal Record,,none
true,JAWNY,"pop, indie pop, psychedelic pop, psychedelic, bedroom pop",track
Stranger,Vistas,,none
Kiss Me,Sixpence None The Richer,"pop, 90s, female vocalists, Love, rock",track
Where You Lead I Will Follow,Carole King,"Gilmore Girls, Soundtrack, female vocalists, singer-songwriter, tv shows",track
Gilded Lily,Cults,"indie pop, girls name, indie, alternative, dream pop",track
SOS,SZA,"sza, Hip-Hop, soul, rap, trip hop",track
Too Close,Alex Clare,"dubstep, electronic, pop, soul, british",track
F2F,SZA,"rock, pop rock, pop punk, alternative rock, pop",track
The Exit,Conan Gray,"seen live, pop, alternative, folk, soft rock",track
Family Line,Conan Gray,"seen live, pop, alternative, folk, soft rock",track
People Watching,Conan Gray,"indie, pop, folk, indie pop, pop rock",track
Eyes Wide Open,Gotye,"indie, alternative, gotye, electronic, indie electropop",track
Silver Lining,Mt. Joy,"indie, folk, americana, conan",track
You're So Vain,Carly Simon,"70s, female vocalists, pop, singer-songwriter, rock",track
Kill Bill,SZA,"pop, MySpotigramBot, trip hop, psychedelic pop, Neo-Soul",track
Team,Lorde,"pop, indie pop, synthpop, electronic, Lorde",track
Damn It Feels Good To Be Me,Andy Grammer,"pop, happy, feel-good, linedance 2021",track
Skinny Ape,Gorillaz,"Neo-Psychedelia, electropop, indietronica, new rave, synthpop",track
Motion Sickness,Phoebe Bridgers,"indie rock, singer-songwriter, indie, rock, country",track
Bloody Mary,Lady Gaga,"pop, electronic, dance, dark, Lady Gaga",track
Carried Away,Passion Pit,"pop, electronic, synthpop, happy, indie pop",track
ARE WE STILL FRIENDS?,"Tyler, The Creator","MySpotigramBot, Neo-Soul, Psychedelic Soul, soul, Neo-Psychedelia",track
Livin' for the Weekend,Fitz and The Tantrums,"soul, pop, seen live, indie, funk",artist
I Wanna Get Better,Bleachers,"love at first listen, pop, rock, 2010s, 2014",track
The DJ is Crying for Help,AJR,"Awesome, Favorite",track
Roses,Phoneboy,,none
Lucy,Bryce Fox,,none
Northern Attitude,Noah Kahan,"indie, alternative, folk, Love, acoustic",track
King And Lionheart,Of Monsters and Men,"indie, folk, icelandic, acoustic, rock",track
Call It What You Want,Foster The People,"indie, indie pop, indie rock, alternative, catchy",track
Flashed Junk Mind,Milky Chance,"indie, pop, indie rock, german, kat fm",track
Lovesong (The Way) [feat. Bluets],"Charlie Burg,Bluets",,none
girls just wanna have sex,mazie,indie rock,track
Karma,Taylor Swift,"overrated, shit, jackson mahomes, pop, Trash",track
Anti-Hero (feat. Bleachers),"Taylor Swift,Bleachers","pop, synthpop, electronic, singer-songwriter, remix",track
start of the end,mazie,"metal, alternative, rock, female vocalists, Nu Metal",artist
Something That I Want,Grace Potter,"Disney, tangled, Soundtrack, pop, pop rock",track
Video Games,The Young Professionals,"covers, Lana Del Rey, electronic, love at first listen, First Song",track
Until I Found You,Stephen Sanchez,"pop, Love, Traditional Pop, adult contemporary, american",track
Flowers in Your Hair,The Lumineers,"folk, indie, acoustic, americana, Love",track
Nights,Neon Trees,"pop rock, 2020, pop, indie rock, heartbreak",track
"Would've, Could've, Should've",Taylor Swift,"jackson mahomes, shit, Trash, garbage, overrated",track
Somewhere Only We Know,Keane,"britpop, Keane, alternative, indie, rock",track
Baby Queen,Gorillaz,"synthpop, electronic, electropop, pop, alternative",track
Midnight Rain,Taylor Swift,"jackson mahomes, shit, pop, Trash, overrated",track
Up Up & Away,Kid Cudi,"Hip-Hop, kid cudi, rap, morning, happy",track
The Great War,Taylor Swift,"jackson mahomes, shit, Trash, garbage, overrated",track
I Just Think That You're Cute,Scarlet Drive,,none
Hayloft II,Mother Mother,"rock, punk, sequel, electronic, vocal",track
Where Are You Now? (feat. girlhouse),"The Wrecks,girlhouse",my spotify,track
Raging Fire,Phillip Phillips,"folk rock, pop, idol, conan, 2014 single",track
"You're On Your Own, Kid",Taylor Swift,"jackson mahomes, shit, Trash, overrated, garbage",track
Bejeweled,Taylor Swift,"jackson mahomes, shit, Trash, overrated, garbage",track
Bigger Than The Whole Sky,Taylor Swift,"jackson mahomes, shit, Trash, garbage, overrated",track
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift,Lana Del Rey","overrated, shit, Trash, garbage, awful",track
I Ain’t Quite Where I Think I Am,Arctic Monkeys,"alternative rock, chamber pop, baroque pop, psychedelic pop, art rock",track
Peace Of Mind,Imagine Dragons,"pop, rock, pop rock, beautiful lyrics",track
SOS,ABBA,"pop, 70s, Disco, swedish, abba",track
Anti-Hero,Taylor Swift,"pop, Trash, garbage, jackson mahomes, shit",track
wide eyed,JAWNY,,none
I Hear a Symphony,Cody Fry,so many feelings,track
Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald,Louis Armstrong","jazz, swing, female vocalists, easy listening, ella fitzgerald",track
Green Light,Lorde,"pop, electropop, 2017, alternative, dance",track
Apocalypse,Cigarettes After Sex,"dream pop, indie, pop, rock, indie pop",track
End of Beginning,Djo,"indie, MySpotigramBot, pop, indie pop, psychedelic pop",track
Mary On A Cross,Ghost,"Psychedelic Rock, occult rock, metal, power pop, pop rock",track
Come Over (Again),Crawlers,"rock, british, indie rock",track
No. 1 Party Anthem,Arctic Monkeys,"indie rock, rock, alex turner, indie, alternative",track
Them Changes,Thundercat,"funk, soul, Neo-Soul, electronic, jazz",track
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,,none
Sick of U (with Oliver Tree),"BoyWithUke,Oliver Tree",,none
menace,mazie,,none
people don't change,mazie,"seen live, Alt-country, indie, indie rock, rock",artist
spinnin,mazie,,none
sippy cup,mazie,,none
make believe,mazie,,none
Do Your Worst,The Happy Fits,"rock, alternative, alternative rock, lyrical",track
Dog Days Are Over,Florence + The Machine,"indie, female vocalists, alternative, indie pop, british",track
cold weather,glass beach,"emo, power pop, indie, rock, punk",track
I Just Wanna Shine,Fitz and The Tantrums,"soul, pop, seen live, indie, funk",artist
Geronimo,Sheppard,"indie, pop, australian, indie pop, best of 2014",track
Dirty Paws,Of Monsters and Men,"folk, indie, indie rock, icelandic, iceland",track
Mountain Sound,Of Monsters and Men,"indie, folk, indie rock, folk rock, icelandic",track
Come On Get Higher,Matt Nathanson,"acoustic, singer-songwriter, Love, Mellow, matt nathanson",track
Love Of Mine - Night Visions Demo,Imagine Dragons,"indie, indie rock, alternative, rock, indie pop",artist
Blunders,The Polar Boys,,none
Love Me (When You're Gone),WHALES•TALK,"indie rock, Indiana, indie, bloomington, seen live",artist
Viva Las Vengeance,Panic! At The Disco,"rock, pop rock, power pop, pop, pop punk",track
Yellow,Coldplay,"rock, Coldplay, alternative, britpop, alternative rock",track
Sparks,Coldplay,"rock, alternative, Coldplay, Mellow, britpop",track
Harmony Hall,Vampire Weekend,"indie, indie pop, indie rock, seen live, chamber pop",track
strawberry chainsaw,JAWNY,,none
Drips on a Wire,Peach Pit,,none
2015,Peach Pit,"jangle pop, bedroom pop, WSUM 91.7 FM Madison, Wavelength with DJ Izzy, Izzy",track
Give Up Baby Go,Peach Pit,,none
I'm Yours,Jason Mraz,"acoustic, happy, singer-songwriter, Love, chill",track
Suicide Saturday,Hippo Campus,"2010s, conan, iii, music choice: alternative",track
Cold Cold Cold,Cage The Elephant,"indie, indie rock, rock, american, Psychedelic Rock",track
golden hour,JVKE,"pop, piano, Love, epic, chamber pop",track
Video Games,Lana Del Rey,"female vocalists, pop, indie, indie pop, Lana Del Rey",track
Hall & Oates,Wild Party,"indie pop, indie, seen live, power pop, pop",artist
I Wonder,Kanye West,"Hip-Hop, Kanye West, rap, hip hop, rnb",track
Here With Me,d4vd,"indie, chill, instrumental, slow, spoken",track
Grade A (feat. JAWNY),"spill tab,JAWNY",my scribbled,track
Georgia,Thomas Headon,linedance 2023,track
26 and 24,"Paige Fish,Landon Boyce",,none
Call Me What You Like,Lovejoy,"indie, rock, indie pop, indie rock, lovejoy",track
Spitting Off the Edge of the World,"Yeah Yeah Yeahs,Perfume Genius","dream pop, indie rock, art rock, indie, chill",track
fall in love,JAWNY,,none
New Religion,The Heydaze,,none
Wonderful Life - Edit,Two Door Cinema Club,life changing,track
Don't Fade Away,Beach Fossils,"indie rock, easy listening, jangle pop, dream pop, summer",track
The Key to Life on Earth,Declan McKenna,"indie pop, indie rock, heard live, indie, rock",track
Fire and the Flood,Vance Joy,"folk, australian, indie folk, folk pop, indie",track
Snap Out Of It,Arctic Monkeys,"indie rock, alternative, british, rock, alternative rock",track
Hell N Back,Bakar,"indie, chill, soul, alternative, calm",track
What's Been On Your Mind?,Surfaces,,none
Little One,The Happy Fits,,none
Pineapple Sunrise,Beach Weather,"my top songs, B Artist",track
Walcott,Vampire Weekend,"indie rock, indie, indie pop, fun, rock",track
Next Exit,Vacations,"indie pop, australian, jangle pop, synthpop, WSUM 91.7 FM Madison",track
Bruises,Chairlift,"indie, pop, indie pop, sweet, female vocalists",track
Congratulations (feat. Bilal),"Mac Miller,Bilal","Hip-Hop, Love, piano, fip, Olivia",track
Homecoming,"Kanye West,Chris Martin","Hip-Hop, rap, Kanye West, hip hop, chris martin",track
Blue Spirits,DWLLRS,,none
Sinking Ship,The Backseat Lovers,"WSUM 91.7 FM Madison, Have I heard You Before with DJ T, DJ T",track
The Moment,Tame Impala,"psychedelic pop, Psychedelic Rock, synthpop, Neo-Psychedelia, indie",track
Sleep Alone,Two Door Cinema Club,"indie, british, indie rock, alternative, electronic",track
Something Good Can Work,Two Door Cinema Club,"indie, britpop, electronic, british, indie rock",track
Blue Hair,TV Girl,"indie rock, MySpotigramBot, seen live, indie, alternative",track
Christmas Kids,Roar,"indie rock, indie, alternative, indie pop, christmas",track
Blue,The Happy Return,indie,artist
Spiderhead,Cage The Elephant,"indie rock, rock, alternative rock, alternative, wierd but good",track
Lamb's Wool,Foster The People,"psychedelic, electropop, rock, personal favourites, spike",track
Mess Is Mine,Vance Joy,"indie, indie folk, Love, folk, australian",track
everything,JAWNY,,none
Heart It Races - Cover Version,Dr. Dog,"cover, indie, alternative, covers, Architecture In Helsinki",track
Nellie,Dr. Dog,"indie, rock, alternative, indie rock, names of people",track
Lemonade,The Happy Return,,none
DOGTOOTH,"Tyler, The Creator","MySpotigramBot, -1001819731063, Dirty South, Neo-Soul, pop rap",track
Then It All Goes Away,Dayglow,"english, self written, wb dayglow",track
Lots of Nothing (feat. BENEE),"Spacey Jane,BENEE",,none
giving up on you,JAWNY,,none
Stolen Dance,Milky Chance,"indie, indie folk, pop, fip, indie dance",track
Sleepyhead,HARBOUR,,none
STAR-CROSSED,Ethan Gander,,none
give up!,mazie,,none
Abandoned Mansion,Dr. Dog,"folk, indie folk",track
On Your Mind,Noah Floersch,,none
Annabeth,The Happy Return,,none
Too Close,Sir Chloe,"indie rock, alternative rock, Garage Rock, garage, nandermo",track
Kill the Sun,Motherfolk,,none
Boyfriend,Best Coast,"indie, Lo-Fi, indie pop, all my failed romantic interests wrapped up in a beautiful little bow called this song, indie rock",track
All Of The Lights,Kanye West,"Hip-Hop, Kanye West, hip hop, rap, Rihanna",track
Money Trees,"Kendrick Lamar,Jay Rock","MySpotigramBot, rap, Hip-Hop, hip hop, west coast hip hop",track
Enchanted (Taylor's Version),Taylor Swift,"pop rock, rock, country, country rock, pop",track
Saturday Sun,Vance Joy,"folk pop, pop, folk, singer-songwriter, australian",track
Sun,Two Door Cinema Club,"indie, indie rock, alternative, indie pop, personal favourites",track
honey,Coastal Club,,none
Calm Down,Jack Johnson,"acoustic, singer-songwriter, chill, alternative, rock",artist
death is a dj,JAWNY,,none
Horizons,Gus Dapperton,,none
Softcore,The Neighbourhood,"alternative, indie, indie pop, shoegaze, synthpop",track
Bahamas,HARBOUR,,none
Sundress,Zoo Culture,,none
Hello,GROUPLOVE,FM4,track
29,Run River North,"indie, folk, indie rock, indie folk, seen live",artist
Goodbye Yellow Brick Road - Remastered 2014,Elton John,"70s, classic rock, pop, elton john, rock",track
Is It Magic?,PawPaw Rod,,none
Oysters In My Pocket,Royel Otis,"indie pop, jangle pop, indie surf, Post-punk revival",track
Pool,"Still Woozy,Remi Wolf",,none
Show Me How,Men I Trust,"dream pop, bedroom pop, Sophisti-Pop, MySpotigramBot, indie",track
bad idea right?,Olivia Rodrigo,"power pop, pop rock, rock, indie rock, garage rock revival",track
Young Folks,Peter Bjorn and John,"indie, indie pop, swedish, alternative, pop",track
Naive,The Kooks,"indie, indie rock, british, alternative, rock",track
Two Weeks,Grizzly Bear,"indie, indie rock, motherfuckin rabbits ejaculating sunshine, beautiful, alternative",track
Shut up My Moms Calling,Hotel Ugly,"MySpotigramBot, -1001190477876, -1001819731063, H Artist",track
Don’t Wanna Love U,Joe P,,none
Favorite Liar,The Wrecks,"indie, alternative, emo, indie rock, pop punk",track
Roll My Stone,Arcy Drive,,none
Still a Friend,The Backseat Lovers,,none
Misery,Michigander,,none
Swim Naked,Betcha,,none
wait a minute,Arlie,,none
Let Down,Michigander,good vibes,track
Chaparral,The Moss,,none
Waiting on the Weekend,HARBOUR,"emo, indie, seen live, alternative, indie rock",artist
Leaves,Joe P,"indie pop, indie rock, english, WSUM 91.7 FM Madison, The Morning Show",track
The Other Way,Michigander,,none
get him back!,Olivia Rodrigo,"pop, rock, pop rock, rap rock, alternative rock",track
Cleopatra,The Lumineers,"american, indie, folk, blues, folk rock",track
love is embarrassing,Olivia Rodrigo,"peter, rock, indie rock, power pop, new rave",track
Lady May,Tyler Childers,"country, folk, Ballad, 2010s, kitchen sink",track
Yes I'm Changing,Tame Impala,"synthpop, electronic, instrumental, spoken, psychedelic",track
Birmingham,Zach Bryan,,none
Solid Ground,Vance Joy,My Music Library,track
Poplar St,Glass Animals,"electronic, seen live, trip-hop, indie, british",artist
Youth,Glass Animals,"pop, british, indie pop, indiepop, fip",track
Diet Mountain Dew,Lana Del Rey,"indie, indie pop, pop, female vocalists, Lana Del Rey",track
All Your'n,Tyler Childers,"country, 2010s, trucking, 2019",track
vampire,Olivia Rodrigo,"pop rock, pop, piano rock, rock, Ballad",track
Revival,Zach Bryan,,none
I Want to Know,KONGOS,"alternative rock, modern rock, 10s, clap, Pherfavs",track
Pumpin Blood,NONONO,"indie pop, electropop, indie, pop, swedish",track
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"Taylor Swift,Fall Out Boy","rock, pop, country, country rock, taylors version",track
Radio,Lana Del Rey,"indie, pop, female vocalists, Lana Del Rey, Love",track
Snow On The Beach (feat. More Lana Del Rey),"Taylor Swift,Lana Del Rey","shit, Trash, overrated, garbage, jackson mahomes",track
Shake It Out,Florence + The Machine,"indie, female vocalists, indie pop, alternative, love at first listen",track
"Right Here, for Now",Bakar,,none
Think Fast (feat. Weezer),"Dominic Fike,Weezer",,none
Acting My Age,The Academic,,none
Fighting in the Car,Joe P,,none
These Days,Dr. Dog,"indie rock, indie, rock, indie pop, american",track
Shadow People,Dr. Dog,"indie, indie folk, upbeat, Psychedelic Rock, love at first listen",track
Animal,Sir Chloe,"alternative, indie rock, alt rock, alt, nandermo",track
Washing Machine Heart,Mitski,"art rock, indie pop, art pop, seen live, rock",track
I Think I Like When It Rains,WILLIS,"blues, Chick Willis, rhythm and blues, bluesrock, Contemporary Blues",artist
Miss Mary,Sarah and the Sundays,,none
Chelsea Dagger,The Fratellis,"indie, indie rock, rock, british, alternative",track
Me and My Husband,Mitski,"art pop, female vocalists, chamber pop, piano rock, seen live",track
Dial Drunk,Noah Kahan,"folk pop, stomp and holler, singer-songwriter, americana, roots rock",track
My Love Mine All Mine,Mitski,"indie, soft rock, singer-songwriter, Love, Traditional Pop",track
Blondie,Current Joys,"rap, Freddie, Kanye West, west, cha cha",track
Memories,Conan Gray,"alternative, pop rock, seen live, pop, folk",track
West Coast,Lana Del Rey,"alternative, pop, love at first listen, indie, female vocalists",track
Back On 74,Jungle,"electronic, soul, Neo Soul, FM4, Meyers",track
I Don't Love You Anymore,"The Honeysticks,Ricky Montgomery","indie, alternative, alt",track
Dancing In The Courthouse,Dominic Fike,,none
Feather,Sabrina Carpenter,"pop, dance-pop, funk pop, Disco, dance",track
Your Apartment,Wallows,"alternative rock, indie rock, my spotify",track
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)","Cautious Clay,Remi Wolf,sophie meiers,Still Woozy,Claud,Melanie Faye,HXNS",,none
Too Much,girl in red,"pop, indie pop, singer-songwriter, pop rock, Ballad",track
Ghost,Steven James,"Progressive rock, experimental, singer-songwriter, Progressive, steven wilson",artist
The Suburbs,Arcade Fire,"indie rock, indie, rock, alternative, Canadian",track
A-Punk,Vampire Weekend,"indie, indie rock, alternative, indie pop, Vampire weekend",track
Campus,Vampire Weekend,"indie rock, indie, indie pop, rock, 00s",track
Float On,Modest Mouse,"indie, indie rock, alternative, rock, Modest Mouse",track
Real Love Baby,Father John Misty,"folk, indie, indie folk, 2016, indie pop",track
Saturn,SZA,"alternative rnb, psychedelic pop, space, Neo-Soul, 2024",track
Shotput,Still Woozy,"songs I crank my hog to, indie pop, happy, Love, psychedelic pop",track
I'm in Love,Jelani Aryeh,"WSUM 91.7 FM Madison, Have I heard You Before with DJ T, DJ T",track
Little Lies - 2017 Remaster,Fleetwood Mac,"80s, classic rock, pop, rock, soft rock",track
Doses & Mimosas,Cherub,"electropop, electronic, pop, happy, upbeat",track
Again,Still Woozy,,none
Put Your Records On,Corinne Bailey Rae,"soul, female vocalists, pop, jazz, chillout",track
Upside Down,Jack Johnson,"acoustic, singer-songwriter, jack johnson, chill, Soundtrack",track
Listen to the Music,The Doobie Brothers,"classic rock, 70s, rock, Southern Rock, live",track
Midnight City,M83,"electronic, indie, electropop, electro, catchy",track
Better Together,Jack Johnson,"acoustic, jack johnson, chill, Mellow, singer-songwriter",track
It Never Rains in Southern California,Albert Hammond,"70s, oldies, pop, rock, summer",track
Sex on Fire,Kings of Leon,"rock, indie rock, alternative, indie, i fucking love this song",track
"Sitting, Waiting, Wishing",Jack Johnson,"acoustic, singer-songwriter, jack johnson, chill, Mellow",track
Alive,Empire Of The Sun,"synthpop, indie, australian, electronic, indiepop",track
Amber,311,"reggae, chill, Mellow, alternative, rock",track
In My Mind,Lyn Lapid,"Tik Tok, indie song, tiktok, most listened to songs of 2023, my scribbled",track
Gold on the Ceiling,The Black Keys,"blues rock, rock, psychedelic, 2010s, american",track
All Your Life,Still Woozy,,none
I've Been In Love,"Jungle,Channel Tres","rap, nu-disco, funktronica",track
Home (with Stick Figure),"Jack Johnson,Stick Figure",pop reggae,track
Red Wine Supernova,Chappell Roan,"electropop, pop, dance-pop, synthpop, indie",track
Right Down the Line,Gerry Rafferty,"classic rock, 70s, soft rock, gerry rafferty, rock",track
drive ME crazy!,Lil Yachty,"MySpotigramBot, -1001747063611, indie, Psychedelic Rock, lil yachty",track
Brain Damage,Pink Floyd,"Progressive rock, classic rock, Psychedelic Rock, rock, Pink Floyd",track
"Good Luck, Babe!",Chappell Roan,"synthpop, pop rock, new wave, baroque pop, pop",track
Wish I Knew You,The Revivalists,"Blue-Eyed Soul, new wave, fip, alternative dance, Funk Rock",track
Talk is Cheap,Dr. Dog,indie rock,track
Fat Dog,Dr. Dog,"post-punk, new wave, Gothic Rock, 80s, goth",artist
misses,Dominic Fike,"my scribbled, WSUM 91.7 FM Madison, i think we re friends now with DJ Toast, DJ Toast",track
Lost Ones,Dr. Dog,"seen live, indie, indie rock, Lo-Fi, alternative",artist
Pink Pony Club,Chappell Roan,"pop, synthpop, indie, indie pop, electronic",track
Edge of Seventeen,Stevie Nicks,"classic rock, 80s, rock, female vocalists, Stevie Nicks",track
My Kink Is Karma,Chappell Roan,"pop, synthpop, electronic, electropop, indie",track
Love Me Not (feat. Rex Orange County),"Ravyn Lenae,Rex Orange County",,none
Mama's Boy,Dominic Fike,"peter, my top songs, my scribbled",track
Baby I'm Yours,Arctic Monkeys,"indie, indie rock, british, Love, arctic monkeys",track
Knee Socks,Arctic Monkeys,"indie rock, rock, british, Eu batendo com meu pau num xilofone seria melhor, alternative",track
Running Away,Thee Sacred Souls,"soul, Smooth Soul, Psychedelic Soul, 2023, Penrose",track
Be With You - 2022 Version,Sons of Zion,,none
Francis Forever,Mitski,"rock, indie pop, indie rock, power pop, slacker rock",track
Should've Been Me,Mitski,"indie pop, pop rock, dance-pop, baroque pop, seen live",track
"Anytime, Always",Wallows,faixas 2024,track
the perfect pair,beabadoobee,"Bossa Nova, bedroom pop, chillout, seen live, indie",track
Like Him (feat. Lola Young),"Tyler, The Creator,Lola Young","Hip-Hop, rap, ofwgkta, underground hip-hop, swag",artist
Glue Song (feat. Clairo),"beabadoobee,Clairo","female vocalists, Love, remix, 2023, fip",track
Every Little Thing,Peach Pit,,none
Sailor Song,Gigi Perez,"indie folk, indie, pop, folk, Love",track
Homesick,Noah Kahan,"indie folk, indie, alternative, folk, indie pop",track
Sweet Life,Frank Ocean,"soul, rnb, best of 2012, rhythm and blues, r&b",track
Lost In Yesterday,Tame Impala,"psychedelic pop, Neo-Psychedelia, psychedelic, synthpop, funktronica",track
The King,Sarah Kinsley,"indie pop, singer-songwriter, my spotify",track
Under The Weather,Mac Miller,"hip hop, clean, get, addictive, perfect",track
Brooklyn Baby,Lana Del Rey,"indie, love at first listen, alternative, dream pop, female vocalists",track
Messy,Lola Young,"indie rock, rock, british, Neo-Psychedelia, Post-punk revival",track
Silver Springs - 2004 Remaster,Fleetwood Mac,"classic rock, rock, 70s, sad, beautiful",track
Candle Flame,"Jungle,Erick the Architect","seen live, electronic, psychedelic, techno, jungle",artist
Linger,The Cranberries,"rock, female vocalists, 90s, alternative, irish",track
Just Like a Movie,Wallows,"classic rock, blues rock, rock, 70s, blues",artist
One Love / People Get Ready,Bob Marley & The Wailers,"reggae, roots reggae, 70s, jamaican, Bob Marley",track
Heart Of Glass,Blondie,"80s, new wave, pop, Disco, rock",track
Sundress,A$AP Rocky,"MySpotigramBot, psychedelic pop, Hip-Hop, indie, pop",track
So Much Trouble In The World,Bob Marley & The Wailers,"reggae, roots reggae, Bob Marley, relax, 70s",track
Guilty as Sin?,Taylor Swift,"worst of 2024, pop, chatgpt, jackson mahomes, climate terrorist",track
Where Is My Mind?,Pixies,"alternative, rock, alternative rock, indie, indie rock",track
Rhinestone Eyes,Gorillaz,"electronic, alternative, Hip-Hop, gorillaz, rock",track
Pimper's Paradise,Bob Marley & The Wailers,"reggae, roots reggae, Bob Marley, bob marley and the wailers, 80s",track
Lonely Boy,The Black Keys,"blues rock, rock, blues, 2011, indie rock",track
Back To Black,Amy Winehouse,"soul, female vocalists, jazz, Amy Winehouse, british",track
Gold on the Ceiling - 2021 Remaster,The Black Keys,"blues rock, rock, psychedelic, 2010s, american",track
From The Start,Laufey,"Bossa Nova, jazz pop, indie, jazz, pop",track
Let's Go Back,Jungle,"seen live, electronic, psychedelic, techno, jungle",artist
All Mixed Up,311,"alternative, rock, reggae, 90s, alternative rock",track
Hard to Believe,Wallows,"indie, rock, indie rock",track
Need a Little Love,The Fratellis,"indie rock, 2020s, 2021",track
Keep Moving,Jungle,"Disco, electronic, rnb, electropop, rock",track
Solar Power - Spotify Singles,Glass Animals,"experimental, psychedelic, seen live, noise, indie rock",artist
Uncomfortable,Wallows,"shoegaze, alternative rock, indie rock, dream pop, Neo-Psychedelia",track
Close Your Eyes,The Backseat Lovers,,none
Run It Back,Still Woozy,"indie pop, bedroom pop, WSUM 91.7 FM Madison, Wavelength with DJ Izzy, Izzy",track
Coffin Change,Wallows,,none
Charlie's Garden,Djo,The Beatles,track
As It Was,Harry Styles,"pop, synthpop, rock, indie pop, british",track
Sold out of Love,The Nude Party,,none
Shaky in the Knees,Grizfolk,"indie, seen live, indie pop, american, California",artist
Peaches,In The Valley Below,"indie, alternative, indie pop, indie rock, best",track
Mystical Magical,Benson Boone,"black metal, grindcore, ebm, no wave, RAC",track
Say You Love Me,Fleetwood Mac,"classic rock, rock, 70s, soft rock, Fleetwood Mac",track
Hide It Away,Wallows,,none
Alrighty Aphrodite,Peach Pit,"indie rock, alternative rock, Psychedelic Rock, surf rock, slacker rock",track
Ice Cold Pool,Wallows,"indie pop, indie rock, new wave, horns",track
Underneath the Streetlights in the Winter Outside Your House,Wallows,"folk, singer-songwriter, female vocalists, Canadian, acoustic",artist
Treacherous Doctor,Wallows,,none
water damage,Arlie,2018 single,track
Dig What You Dug,Wallows,"indie pop, indie rock",track
Bad Dream,Wallows,"rock and roll over, WSUM 91.7 FM Madison",track
Calling After Me,Wallows,"indie, indie pop, acheimagra, WSUM 91.7 FM Madison, Something Your Dad Might Like",track
"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)","Tyler, The Creator,Charlie Wilson,Chaz Bundick,Syd,Kali Uchis","Hip-Hop, rap, ofwgkta, underground hip-hop, swag",artist
When the World is Ending,Divine Sweater,,none
Authority,Dr. Dog,"chamber pop, psychedelic pop, piano rock, WSUM 91.7 FM Madison, The Morning Show",track
Your House,Steel Pulse,"reggae, roots reggae, 80s, british, Steel pulse",track
Milk & Honey,Hollie Cook,"reggae, soul, dub, tropical, roots reggae",track
Not Alone,Wallows,,none
Wonderwall - Remastered,Oasis,"rock, britpop, 90s, alternative, oasis",track
I Want It That Way,Backstreet Boys,"pop, 90s, backstreet boys, boybands, male vocalists",track
...Baby One More Time,Britney Spears,"pop, Britney Spears, 90s, dance, female vocalists",track
"I Don't Want to Miss a Thing - From the Touchstone film,  Armageddon ",Aerosmith,"rock, classic rock, aerosmith, Soundtrack, Love",track
Wannabe,Spice Girls,"pop, 90s, dance, Spice Girls, female vocalists",track
Killing In The Name,Rage Against The Machine,"rock, alternative rock, metal, political, alternative",track
I Will Always Love You,Whitney Houston,"female vocalists, pop, Love, Soundtrack, Ballad",track
Es ist zu spät,Serc AK,"Schlager, Matthias Reim, deutsch, german, pop",artist
Streets of Philadelphia - Single Edit,Bruce Springsteen,"rock, classic rock, 90s, Soundtrack, singer-songwriter",track
Sway,Spiral Core,,none
Personal Jesus - Single Version,Depeche Mode,"80s, new wave, electronic, Depeche Mode, synth pop",track
Mambo No. 5 (a Little Bit of...),Lou Bega,"90s, pop, dance, mambo, latin",track
Streets of Dublin,CLARCKSONIC,,none
Zombie,The Cranberries,"rock, alternative, 90s, female vocalists, alternative rock",track
Your The Best,Jason Myrla,,none
My Heart Will Go On - Love Theme from  Titanic ,Céline Dion,"pop, Soundtrack, Celine Dion, female vocalists, titanic",track
