Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Loud,Camelot,Genre,Subgenre,Clean_Lyrics,Power,sqrt_Acoustic,sqrt_BPM
Call Me What You Like,Lovejoy,0.4625,0.6058823529411764,0.49411764705882355,0.8842105263157896,0.010101010101010102,0.3368421052631579,0.8,5A,indie,indie pop,never fan internet never feel safe head hate news grace god go smile ask bored yet wonder take far taste confused darling like think guy shell see tonight call like long call could kiss skin lip make feel good sure want sure need taste th beer every guy talk stay awake forver stay awake forever find mum bedroom fight pink roller blind payperview place bet lose mind take pirouette duvet set sigh perfect pitch time make else new oh lord tell nothing really hope nothing could kiss skin lip make feel good sure want sure need taste beer every guy talk stay awake forever stay awake forever total fucking dumbass come uncomfortable conclusion go spend rest life state constant paranoia let follow ill proceed bang head every doorway doorframe see suitable go find road happiness pave row row tempting parking space paranoid realist know go kill could kiss skin lip make feel good sure want sure need taste beer every guy talk stay awake forever stay awake forever could kiss skin lip make feel good sure want sure need taste beer every guy talk stay awake forever stay awake stay awake forever,0.5196687370600415,0.10050378152592121,0.6833014651866602
Wish Me Luck,Wallows,0.26250000000000007,0.5470588235294118,0.5294117647058824,0.7052631578947368,0.06060606060606061,0.17894736842105263,0.8400000000000001,4B,indie,indie pop,wanna make different back start need hear word say apart wanna lose insecurity tell would hurt wish luck always get stick inside mind ill fine turn light alright ill fine turn light match burn time let think em whenever around ill admit quit whenever get start say fine well still never enough wish luck always get stick inside mind ill fine turn light alright ill fine turn holdin back know head holdin back maybe go lose control holdin back know head head holdin back maybe go lose control wish luck always get stick inside mind wanna make different back start ill fine turn light alright ill fine need hear word say apart turn light ill admit quit whenever get start alright ill fine turn light say fine well still never enough alright ill fine turn,0.6997929606625259,0.24618298195866545,0.6304137483564367
Sexual Healing,Marvin Gaye,0.7125,0.26470588235294124,0.8235294117647058,0.5789473684210527,0.12121212121212122,0.7473684210526316,0.64,5A,soul,soul rnb,get get get get wake wake wake wake oh baby let get tonight ooh baby hot like oven heal darling need lovin heal darling baby hold much long heal darling get strong strong heal darling get feeling want sexual healing sexual healing oh baby make feel fine help relieve mind sexual healing baby good sexual healing something good whenever blue teardrop fall emotional stability leave something get telephone call baby honey know relieve love give free know thing deal oh tell darle sexual healing get get get get let make love tonight wake wake wake wake cause right baby get sick morning heal darling sea storm inside heal darling baby think capsize heal darling wave rise rise heal darling get feeling want sexual healing sexual healing good make feel fine rush help relieve mind good sexual healing baby good sexual healing something good good good baby ohhh come take control grab hold body mind soon well make honey oh feel fine medicine open let darling great wait operate heal darling wait operate get feeling heal darling need sexual healing oh get feeling heal darling need sexual healing get sexual healing darling heal darling cause alone need sexual healing darling heal darling til come back home please procrastinate heal darling good masturbate,0.4513457556935818,0.34815531191139565,0.34561881905326763
cardigan,Taylor Swift,0.825,0.4764705882352941,0.5882352941176471,0.5578947368421052,0.5454545454545455,0.5473684210526316,0.68,5A,folk,folk,vintage tee brand new phone high heel cobblestone young assume know nothing sequin smile black lipstick sensual politic young assume know nothing know dancin levis drunk streetlight know hand sweatshirt baby kiss well feel like old cardigan someone bed put say favorite friend friend none chase two girl lose one young assume know nothing know play hideandseek give weekend know heartbeat high line twenty lifetime feel like old cardigan someone bed put say favorite kiss car downtown bar need draw star around scar bleedin cause know steppin last train mark like bloodstain know try change end peter lose wendy know leavin like father run like water young assume know nothing know linger like tattoo kiss know haunt whatif smell smoke would hang around long cause know everything young know curse long time chasin shadow grocery line know miss thrill expire standin front porch light know come back come back come back come back feel like old cardigan someone bed put say favorite,0.5320910973084887,0.7385489458759964,0.5644252593145227
Deja Vu,J. Cole,0.6375000000000001,0.7352941176470588,0.6470588235294118,0.3894736842105263,0.3535353535353536,0.15789473684210525,0.6000000000000001,11B,hip hop,hip hop,huh ayy put finger sky want nigga ayy put two finger sky want ayy put finger sky want nigga ayy put two finger sky want ayy put finger sky want nigga ayy put two finger sky want ayy put finger sky want nigga ayy put two finger sky want sometimes worry bout thing provide ya whenever around seem come alive ya finally recognize feeling inside ya although know man trust would die ya quiet thought go year see party soft lip softspoken come talk homie interfere introduce girl heartbroken people talk love first sight shit keep real know whether believe true tell wrong right fall love ever even know catch eye look away never happen time feel though catch strange dream eye could talk mine would tell ya feel feel sometimes swear eye tell thing fuck smalltown niggas get big dream big dream hm fuck smalltown niggas get big dream big dream hm listen fuck smalltown niggas get big dream big dream fuck smalltown niggas get big dream big dream listen club jumping stop top know go til 2 oclock put yo motherfuckin hood weekend drop back ass bitch get freak last call bar lady get drink nigga get ball tell gon see bitch tomorrow stop hold wall wait right song well holla cause know bout cut light put number huh stare afar wonder bout like cause star type snort white line mean type light night time hear get man right mind let house alone tell house home club look like zone discreet pull phone put number text nigga man leave unattended scale 1 10 girl hundred want question know destiny well though sin lord bless still every saint get past every sinner get future every loser get win every winner get lose someday say matter time way would mine huh fuck smalltown niggas get big dream big dream yeah fuck smalltown niggas get big dream big dream hm listen fuck smalltown niggas get big dream big dream fuck smalltown niggas get big dream big dream club jumping stop top know go til 2 oclock put yo motherfuckin hood weekend drop back ass bitch get freak last call bar lady get drink nigga get ball tell gon see bitch tomorrow stop hold wall wait right song well holla cause know bout cut light know make darling wait cause see promise land promising know make darling wait cause see promise land promising ayy put finger sky want nigga ayy put two finger sky want ayy put finger sky want nigga ayy put two finger sky want ayy put finger sky want nigga ayy put two finger sky want ayy put finger sky want nigga ayy put two finger sky want,0.5942028985507247,0.5945883900105632,0.7938434318778738
Kiss With A Fist,Florence + The Machine,0.48750000000000004,0.3411764705882353,0.3058823529411765,0.7894736842105263,0.0,0.6210526315789474,0.8400000000000001,10B,indie,indie alternative,hit hit back give kick give slap smash plate head set fire bed hit hit back give kick give slap smash plate head set fire bed ohohwoah black eye cast shadow red eye see blame slap stick kick hit remain blood stick sweat drip break lock fit kick tooth good kiss fist well none woahoh kiss fist well none break jaw spill blood upon floor break leg return let sit back watch bed burn blood stick sweat drip break lock fit kick tooth good kiss fist well none woahoh kiss fist well none hit hit back give kick give slap smash plate head set fire bed woah woah hit hit back give kick give slap smash plate head set fire bed ah,0.658385093167702,0.0,0.4288025541226481
Faith Healer,Julien Baker,0.32500000000000007,0.6294117647058823,0.35294117647058826,0.6000000000000001,0.18181818181818182,0.4,0.76,12B,indie,indie rock,ooh miss high dull terror beauty see everything startling intensity oh would give would take away sting minute everything love trade feel rush chest smoke alarm go week one show half time think faith healer come put hand snake oil dealer ill believe make feel something oh faith healer come put hand snake oil dealer ill believe make feel something,0.6231884057971016,0.42640143271122083,0.7039676086936986
Slip Away,Perfume Genius,0.38750000000000007,0.5176470588235295,0.5764705882352941,0.4842105263157895,0.37373737373737376,0.5684210526315789,0.76,3B,indie,indie,hold back want break free god singe body carry sound every drum every single beat bear body carry sound oh ooh love never break shape take oh ooh baby let voice slip away look back want break free never see em come never hide take hand take everything get moment give oh ooh love never break shape take oh ooh baby let voice slip away caressing caressing caressing caressing caressing caressing caressing caressing oh ooh love never break shape take oh ooh love never break shape take oh ooh love love never break shape take oh ooh baby let voice slip away,0.7028985507246377,0.6113406364191519,0.6032711768283896
Unwritten,Natasha Bedingfield,0.875,0.30000000000000004,0.7058823529411765,0.7894736842105263,0.010101010101010102,0.631578947368421,0.8,7B,pop,pop dance,unwritten read mind undefined begin pen hand end unplanne stare blank page open dirty window let sun illuminate word find reach something distance close almost taste release inhibition feel rain skin one else feel let one else one else speak word lip drench word unspeak live life arm wide open today book begin rest still unwritten yeah oh oh break tradition sometimes try outside line yeah yeah condition make mistake live way oh stare blank page open dirty window let sun illuminate word find reach something distance close almost taste release inhibition feel rain skin one else feel let one else one else speak word lip drench word unspeak live life arm wide open today book begin feel rain skin one else feel let one else one else speak word lip drench word unspeak live life arm wide open today book begin rest still unwritten woah ooh oh woah oh ooh ooh ooh yeah stare blank page open dirty window let sun illuminate word find reach something distance close almost taste release inhibition feel rain skin one else feel let one else one else speak word lip drench word unspeak live life arm wide open today book begin feel rain skin one else feel let one else one else speak word lip drench word unspeak live life arm wide open today book begin rest still unwritten rest still unwritten rest still unwritten yeah yeah yeah yeah yeah yeah yeah yeah yeah,0.5755693581780539,0.10050378152592121,0.3846820338873307
Just A Girl,No Doubt,0.7125,0.34705882352941175,0.6235294117647059,0.9052631578947368,0.07070707070707072,0.7789473684210526,0.8400000000000001,10B,rock,rock 90s,take pink ribbon eye expose big surprise think know exactly stand world force hold hand cause girl oh little old well let sight oh girl pretty petite let right oh moment step outside many reason run hide little thing hold dear cause little thing fear cause girl rather cause let drive late night oh girl guess kind freak cause sit stare eye oh girl take good look typical prototype oh oh make clear girl girl world let oh girl live captivity rule thumb make worrisome oh girl destiny succumb make numb oh girl apology become burdensome oh girl lucky twiddledum comparison oh oh oh,0.6014492753623188,0.26590801173915524,0.4349862424998072
Lady Marmalade,Patti LaBelle,0.45000000000000007,0.40588235294117647,0.5411764705882353,0.631578947368421,0.5555555555555556,0.968421052631579,0.6000000000000001,7A,soul,soul 70s,woah really sarah dash nona hendryx ah produce allen toussaint hey yeah hey hey sister go sister soul sister go sister hey sister go sister soul sister go sister meet marmalade old new orleans strut stuff street say hello hey joe come wanna give go know gitchigitchi yaya dada dadadadada gitchigitchi yaya mocha chocalata yaya mocha chocolata yaya creole lady marmalade come voulezvous coucher avec moi ce soir voulezvous coucher avc moi voulezvous coucher avec moi c soir creole lady marmalade voulezvous coucher avec moi ce soir voulezvous coucher avec moi voulezvous coucher avec moi ce soir voulezvous coucher avec moi voulezvous coucher avec moi ce soir voulezvous coucher avec moi voulezvous coucher avec moi ce soir voulezvous coucher avec moi yeah one allen toussaint new orleans yeah yeah girl remember wonderful man yeah yes um song know mean yeah mean sleep tonight yeah know mean know voulezvous coucher avec moi ce soir sound like hit sing nun call say lady singe hooker yeah well really know yeah sound good yeah know okay one thing well take little bit french kind right little bit know little bit right well young girl clue know find singe singe lot time singe feel good feel good yeah yeah time feel really good voulezvous coucher avec moi ce soir part yeah yes darle one thing really good,0.33229813664596275,0.7453559924999299,0.4953140852717337
Tyler Herro,Jack Harlow,0.5375000000000001,0.43529411764705883,0.8,0.7473684210526315,0.11111111111111112,0.7894736842105263,0.76,4A,hip hop,hip hop,yeah one hate look like tell mean make slick comment see bring see go reenact thing extreme like bmxe boy pussy pmse people city see movement occur say god wanna scene damn right wanna scene video tryna scene use fantasize bout bein see see bluegrass girl get big dream touch get instinct lock house plottin thing bring gang party five white boy nsync yeah woo fuck think fuck everything say dawgs like play madden 2k one thing play homeboy tyler play south beach tell summer gon fix jumper tell boi1da might got thumper tryna pop like shumpert yeah yeah yeah yeah bumper green room chockfull comfort hotel room like heaven earth get angel bed allwhite cover ace pro nemo lucci quiiso shloob clay 2for get call brother get lot flow like butter ooh ah know mean come home nice goin back mean bout globetrot know vaccine mothafucker act lose know exactly goin make mil know blow tell critic shut like show give tshirt say throw one many high school classmate growin growin growin peer poppin know goin wrong well dressed get soul sew tryna tell boy get song could sell boy try back hell nah boy nah box like kelloggs toy like like ooh one hate look like like tell mean make slick comment see bring see go reenact thing let extreme like bmxe boy pussy pmse woo people city see movement occur say god wanna scene right damn right wanna scene video tryna scene scene use fantasize bout bein see bluegrass girl get big dream touch get instinct lock house plottin thing bring gang party five white boy nsync nsync nsync word jt nsync word jt nsync nsync nono nsync ohoh ohoh ohoh ohoh,0.5217391304347827,0.3333333333333333,0.524518634325317
I've Been Thinking About You,Londonbeat,0.6125,0.38235294117647056,0.6705882352941177,0.6421052631578947,0.020202020202020204,0.9157894736842105,0.52,10A,pop,pop 90s,must stone crazy think friend cause miss baby get feeling guess confused feel love oh baby think think think think shipowpow suddenly stranger watch walk away one temptation oh want stay deep still confused oh yes baby feel love oh baby think think think think shipowpow good without wanna know feel love oh baby think think think think shipowpow oh baby get mind think time,0.18426501035196696,0.1421338109037403,0.4715019802514253
MC's Act Like They Don't Know,KRS-One,0.4625,0.24117647058823533,0.8823529411764706,0.7894736842105263,0.010101010101010102,0.8736842105263157,0.88,3B,hip hop,hip hop,clap hand everybody get take cause krs mic premier break goin hardcore hiphop goin hardcore hiphop course flip flop know doubt ever know never grammy win tony mc keepin real grab mic smash rapper girl go ill check time rhyme 1995 whenever arrive party get liver flow master rhymer leave behind video rapper know chart climber clapper go another rapper onto another matter punch datum blastmaster knowledge reign supreme nearly everybody call kr guarantee rip party flat top braid bald head knotty dread story man name jed jed dead kid instead wanna kick rhyme top head word go around come around figure get white kid callin niggas table turn crosse burn remember must learn style flip wild get go like space age rocket ship could mack pimp hustler player make sure live dope rhyme sayer mcs act like know mcs act like know mcs act like know mcs act like know wait year hardcore krs big grand wizard theodore gettin ill see ya see grill mad skill mcs battle rhyme get punchline let battle see headline instead flow flow let go show show toe toe yo well act like know many mcs take word emcee lightly move crowd even slightly might fact express wackness let show ya whose ass black flip script little bit ride tip shit sick get admit bite style counterfeit tone bit title never get intelligent ill send family sentiment style toxic rock shock hiphop unlock head knock split quick lyric direct hit perfect fit get mcs act like know mcs act like know mcs act like know mcs act like know mcs like kr must respect cause know kid get rectum slappin selectin em checkin em disrespectin em deckin em deckin em deckin em right mind mimic style like mine design rhyme get mine time mcs standin sideline always dissin roll rush crew start bitchin burn freeze yet mcs believe could tangle like cross ts dot whenever arrive wide magnify live like ocean tide dope lie reside like artifact wrong side da track electrify comin around mountain run hide hopin defense mechanism divert heatseeking lyricism spark mad izm 1996 lyrical style give em mcs act like know mcs act like know mcs act like know mcs act like know mcs act like know,0.74120082815735,0.10050378152592121,0.31887998962626973
Babydoll,Dominic Fike,0.8,0.7000000000000001,0.7647058823529411,0.5789473684210527,0.11111111111111112,0.8631578947368421,0.8400000000000001,6A,indie,indie pop,move babydoll waitin call flippin station outclassed outrageous ooh ill take babydoll whatever weighin eeh find miami concrete lookin somebody different cause daddy pimp ooh ooh ooh mama issue miss anyway oh babydoll ooh oohooh please call wrong reason know exactly thinkin week pass never grow tired cause never say never barely ever lie road original place outer space make find phone globe take really wanna go oh babydoll move move babydoll waitin call flippin station outclassed outrageous ooh ill take babydoll whatever weighin,0.761904761904762,0.3333333333333333,0.7644249295695189
Heart of Gold,Neil Young,0.32500000000000007,0.7235294117647059,0.5058823529411764,0.45263157894736844,0.20202020202020204,0.8421052631578947,0.64,9B,folk,folk rock,want live want give miner heart gold expression never give keep searchin heart gold get old keep searchin heart gold get old hollywood redwood cross ocean heart gold mind fine line keep searchin heart gold get old keep searchin heart gold get old keep searchin heart gold keep searchin grow old keep searchin heart gold miner heart gold,0.5755693581780539,0.44946657497549475,0.7840944466759818
This World's A Giant,Zach Bryan,0.5750000000000001,0.2,0.3647058823529412,0.2631578947368421,0.8787878787878789,0.17894736842105263,0.6000000000000001,3B,indie,indie folk,guitar ringin top floor house learn rest soul inside still quiet world giant feel like face tonight word yet ill smoke cigarette even though shell smell breath say want kid even though quit thing make childish bad window crack come hear laughin kitchen babe let pour wine still little tim maybe little bit left save still quiet world giant ever davids heart ill say sorry god trouble cause maybe good place start beholden holder boy hear breathin world thief joy well fightin dead time rest cause kid need feed time rest cause kid need fed guitar ringin top house use rest soul inside nothing last memory pass think home august night reason go reason stay know fear anyway still quiet world giant maybe little bit left save beholden holder boy hear breathin world thief joy well fightin dead time rest cause kid need feed time rest kid need feed,0.7308488612836439,0.9374368665610922,0.27061529386978256
Goodbye Sam Hello Samantha,Cliff Richard,0.15000000000000002,0.4411764705882353,0.8235294117647058,0.5052631578947369,0.13131313131313133,0.8947368421052632,0.56,10B,rock,rock,goodbye sam hello samantha goodbye sam hello samantha sam leavin gang come around sunday joe want know ill skip game monday whole lot fun time come need sweet sweet touch womans love goodbye sam hello samantha goodbye joe hello joanne suddenly need new kind company someone love goodbye sam hello samantha goodbye lou hello louise today new game play good luck goodbye sam guy ought get wise world pool fishin easy ridin fine look around see missin girl waitin line come time goin go get goodbye sam hello samantha goodbye joe hello joanne suddenly need new kind company someone love goodbye sam hello samantha goodbye lou hello louise today new game play good luck goodbye sam good luck goodbye sam good luck goodbye goodbye sam hello samantha goodbye sam hello samantha goodbye sam see ya hello samantha goodbye sam hello samantha goodbye sam see ya hello samantha goodbye sam,0.41407867494824024,0.36237153766973934,0.5302878671287954
Soundtrack 2 My Life,Kid Cudi,0.6000000000000001,0.21764705882352942,0.43529411764705883,0.7473684210526315,0.4747474747474748,0.43157894736842106,0.76,8A,hip hop,hip hop,get 99 problem bitch wish jigga man carefree livin shawn martin louis cleveland nigga rollin brooklyn boy knowin start live large control life charle never charge sitcom could teach scott dram even explain trouble haunt mom christmas time mom christmas grind get want mom huh cop toy would play room get two old brother one hood one good independent old sister keep fly could see little bit sadness scotty get issue nobody see emotion pour bring light right soundtrack life soundtrack life super paranoid like sixth sense since father die right since try piece puzzle universe split eighth shroom could see universe try think sacrifice show kid one night moon illuminate room soon consume doom upon time nobody give fuck say cock suck cut alcohol wound heart open sore hope heal soon live cocoon opposite cancn never sunny dark side moon right try shed light man many people planet understand fam get issue nobody see emotion pour bring em light right soundtrack life soundtrack life close go try coke happy ending would slittin throat ignorance cope man ignorance bliss ignorance love need shit never show prolly myth care blog prolly jackass give shit people talkin bout fam hater shake hand keep sanitizer deck hope really get see 30 wanna settle stop flirty clean face dirty need thoroughbred cook hungry ass chunky brain insanity thing calm pussy cali tree get never truly satisfied happy sad lie get issue nobody see emotion pour bring em light right soundtrack life soundtrack life life life life uh yeah uhhuh yeah uhhuh yeah uhhuh yeah uhhuh yeah yeah yeah,0.5217391304347827,0.6890192121758832,0.29154006237704677
To Bring You My Love,PJ Harvey,0.36250000000000004,0.3941176470588236,0.5411764705882353,0.23157894736842105,0.6767676767676768,0.11578947368421051,0.44000000000000006,8B,alternative,alternative rock,bear desert year jesus come close think time near travel dry earth flood hell high water bring love climb mountain travel sea cast heaven cast knee lie devil curse god forsake heaven bring love bring love bring love bring love know go know go yeah alright forsake heaven curse god lie devil bring love bring love bring love bring love,0.653209109730849,0.8226589066968624,0.4834593548142123
Aston Martin Music,"Rick Ross,Drake,Chrisette Michele",0.675,0.7235294117647059,0.5411764705882353,0.5578947368421052,0.010101010101010102,0.3894736842105263,0.8,3B,hip hop,hip hop,oh let pull twoseater baby ever wanna go justice league riding music night night breeze freeway baby ride boss worry listen aston martin music music would come back need time catch life let go whether right never know uh go nothing alone room sometime stare wall automatic weapon floor call bitch one live code put music shit aside get road lot quiet time pink bottle rise exotic red bottom whole body glitter gold follow fundamental follow rental love nasty girl swallow menu money triple ya get state need new safe cause run space elroy jetson somewhere space twoseater one would take wee riding music night night breeze freeway baby ride boss worry listen aston martin music music would come back need time catch life let go whether right never know uh go nothing pull block droptop chicken box mr kfc vvss watch live fast money bag never front take come back top right wanna goal unfold right front every time fuck soul take hold addict like pookie pussy control thing keep call fuck maintain boy get keep ballin pink bottle keep come james bond coupe pop clutch 100 ride music night night breeze freeway baby ride boss worry listen aston martin music music would come back need time catch life let go whether right never know hope forgive never mean wrong try patient wait long would come back would come back would come back would come back would come talk slicker pimp augusta linen suit drycleane bitch witcha hate callin woman bitch bitch love take sense make nickel urgin daughter kiss mother lip lipstick cover never grow miss hug girl countin like missin rubber marvin gaye shit bunch distant lover life use reintroduce people introduce forget scared tell meet fear remember wish could still accept miss memphis tennessee cousin dad simplistic beauty southerner halfway across world dozen bag feelin like four member color badd one nigga amazing shit get courtney love crazy shit drink every bottle agin shit get wedding ring flow engagin shit one get fleet keychain seat heat game really think stare see thing la familia induct instruct stunt niggas really fuck fuck havin lunch debatin ferrari price twentythree goin midlife crisis trust still deliver like midwife sayin nice live life like uh take certain type man teach far hood understand street never throw away paper grammy speech hit pinnacle plan reach yeah get want kiss body tell live moment baby ill never forget none girl tell come back aston martin music music aston martin music music,0.7122153209109732,0.10050378152592121,0.7840944466759818
Ringside,Julien Baker,0.23750000000000004,0.19411764705882356,0.5058823529411764,0.5473684210526315,0.27272727272727276,0.4842105263157894,0.8,8B,indie,indie rock,beat bloody ill give ringside seat say embarrassing sorry see like could either watch drown try save drag wanna fix know fair make wait around friend go jesus help trade briar crown anybody come back ever leave talk hold like scratchoff ticket dig nail skin honey stupid know one win kind thing another way kill hour wish different nobody deserve second chance honey keep get like scratchoff ticket dig nail skin honey stupid know one win kind thing another way kill hour wish different nobody deserve second chance keep give,0.7184265010351968,0.5222329678670935,0.2635565784534979
Let Me Blow Ya Mind,"Eve,Gwen Stefani",0.7375,0.24117647058823533,0.9411764705882353,0.5368421052631578,0.24242424242424243,0.9157894736842105,0.88,1A,hip hop,hip hop rnb,uh uh uh huh yo yo drop glass shake ass face screw like hot flash one pick one one classic red blonde yeah bitch drastic lip stop askin listen baby relax start passin expressway hair back weaving traffic one strong label hazard niggas hot psych gassin clown spot em stop laughin easy come easy go ev gon lastin jealousy let go result could tragic write well concerned fashion none giselle cat walk imagine lot hollywood drama cast cut bitch camera real shit blast give year get foot door go nowhere take get go take time fight good shit ear let blow ya mind wanna bank ooh crank make dizzy ooh shank ooh hater wanna come ooh gangster ooh prankster much tv ooh ooh snake path wanna smile ooh ooh grit tooth frustration baby get breathe take lot get rid see ai stress come stage get see meet lab pen pad believe huh 16s mine create line love wordplay hard find sophomore scared one kind contemplate way make fan mine eye bloodshot stress chill spine huh sick stomach wish write rhyme give year get foot door go nowhere take get go take time fight good shit ear let blow ya mind let bone crack back pop stop excitement glock shot stash spot fuck thugge respect cash route glocke blaster set mash yeah nigga mash dre huh backtrack make eve like ew get know trance first glance floor believe ill show take turn tension go give relief put trust bomb listen damn much thin nah complete uhhuh still stallion brick house pile ryde die bitch double r come strong beware cause crush anything land mistake nigga plan give year get foot door go nowhere take get go take time fight good shit ear let blow ya mind,0.8405797101449276,0.4923659639173309,0.31887998962626973
Family Affair,Mary J. Blige,0.7875000000000001,0.2588235294117647,0.9411764705882353,0.5263157894736843,0.13131313131313133,0.9894736842105264,0.88,1A,rnb,rnb,let get crunk fun dancery get open ya floatin got dance need hateration holleration dancery let get percolatin waitin dance come everybody get cause know got get crunk mary j spot tonight make feel alright make feel alright come baby party let loose set body free oh leave situation door step inside jump floor let get crunk let get crunk fun dancery get open ya floatin got dance need hateration holleration dancery holler holler holler let get percolatin waitin dance ooh go matter time get loose start lose mind cop drink go head rock ice cause celebrate drama life dre track pumpin everybodys jumpin go ahead twist back get body bumpin tell leave situation door grab somebody get ass dancefloor let get crunk fun dancery get open ya floatin got dance need hateration holleration dancery let get percolatin waitin dance need hater need try love one another love want good time mhm drama life mmmmmm work real hard make dime get beef problem mine mine leave bs outside go celebrate night night let fun tonight fight turn dre track way high turn turn make dance night night long get real heat ya time real heat boy matter white black matter matter let get crunk cause mary back let get crunk let get crunke fun dancery dancery get open ya floatin got dance get dance need hateration dance holleration dancery dance let get percolatin waitin let get let get let get dance let get crunk dance fun dancery let get crunk get open ya floatin want got dance dance dance need hateration cmon cmon holleration dancery cmon cmon let get percolatin waitin dance let get crunk fun dancery oh yeah get open ya floatin got dance get dance need hateration dance holleration dancery dance let get percolatin waitin dance dance dance yeah dance let get crunk dance fun dancery cmon dance get open ya floatin dance dance dance dance got dance need hateration holleration dancery need hand let get percolatin waitin want holler holler hear get percolate dance,0.84472049689441,0.36237153766973934,0.33898831720885325
Suzanne,Hope Sandoval & The Warm Inventions,0.4125000000000001,0.44705882352941173,0.47058823529411764,0.2421052631578947,0.7171717171717172,0.13684210526315788,0.44000000000000006,9B,indie,indie,suzanne wait doorway waste time look like sister feel like man time mean tell cat overflown pull aside fourleaf clover make feel right suzanne suzanne suzanne suzanne suzanne wait doorway waste time look like sister feel like man suzanne suzanne suzanne suzanne suzanne suzanne suzanne suzanne suzanne suzanne,0.6376811594202899,0.8468599159080074,0.5360338834211438
Ain’t No Fun (If The Homies Can’t Have None),"Snoop Dogg,Nate Dogg,Warren G,Kurupt",0.6000000000000001,0.30000000000000004,0.8823529411764706,0.7052631578947368,0.13131313131313133,0.7263157894736842,0.8,4A,hip hop,hip hop,back jack hour dj ezdicc wballz right something new snoop doggy dogg one go lady guy big bowwowwow cause gon make little misty tonight dj ezdicc station slap across fat ass fat dick meet last night baby open gap respect lady take back cause give pussy even lick ball leave number cabinet promise baby ill give call next time feelin kinda horny come ill break fuck day baby lie back open mouth cause never meet girl love whole wide world well kurupt give fuck bitch always break never motherfuckin indo smoke get loced loony bitch look like bbd hoochie groupie love hoe somethin learn tha pound fuck suppose pay ho lay ho know pussys mine fuck couple time nothin else pass homie hit cause nothin bitch know bitch shit give fuck pay attention approach different proposition kurupt ho never one trickass bitch fun homie none fun homie none fun homie none fun homie none guess back motherfuckin house fat dick motherfuckin mouth hoe recognize niggas cause bitch get scandalous pull voodoo gon really know advise trust ho silly fall love bitch knowin damn well catch grip sun rotate game grow big uhhuh many bitch wanna fuck nigga name snoop doggy swift toe get catch hoe see fun homie get taste cause know love woo hey know inhale exhale flow one money two bitch three get ready four hit switch chevy 64 rag exact bitch side bitch back back bitch strugglin get knee start jugglin motherfuckin nut mouth warren g nigga clout woo fun homie none fun homie none fun homie none fun homie none,0.6252587991718428,0.36237153766973934,0.3846820338873307
The Other Side Of Paradise,Glass Animals,0.65,0.4647058823529412,0.6823529411764706,0.30526315789473685,0.3535353535353536,0.5684210526315789,0.72,10A,pop,pop,young stupid love leave rock roll star tell please worry wise little smile speak safely book oneway ticket west make six kid stick bedsit sunswept poolside rich meet girl wear versace pink feather coat jumbo jewelry go hoop phenomenon go hakeem olajuwon get gold camaro say payphone try keep cool life turn slow motion byebye baby blue wish could see wicked truth catch rush killin screamin sun blow curl grip finger fist like might run settle ghost never know super paradise hold settle ghost nola one leave rock roll star stay treat lady give everything new baby miss blame boy go stone cold crazy catch camera lust chasin pappy pipe dream ooh ooh know know still try thunder shake thunder come shake girl go girl go still try think bullet hit maybe feel fuckin numb hit head feel numb bodys lookin wrong bodys lookin wrong bodys lookin wrong byebye baby blue wish could see wicked truth catch rush killin screamin sun blow curl grip finger fist like might run settle ghost never know super paradise hold settle ghost,0.7908902691511388,0.5945883900105632,0.5531353863288409
The Boys Are Back In Town,Thin Lizzy,0.6875,0.18823529411764706,0.4,0.6947368421052631,0.23232323232323235,0.7789473684210526,0.64,4B,rock,rock 70s,guess get back today wildeye boy away change much say man still think cat crazy askin around could find tell livin downtown drivin old man crazy boy back town boy back town say boy back town boy back town boy back town boy back town boy back town boy back town know chick use dance lot every night shed floor shakin get man tell ya cool red hot mean steamin time johnny place well chick get slap johnny face man fall place chick wanna know forget boy back town boy back town say boy back town boy back town boy back town boy back town boy back town boy back town spread word around guess back town spread word around friday night dress kill dinos bar grill drink flow blood spill boy wanna fight well let em jukebox corner blastin favourite song night gettin warm long long till summer come boy boy back town boy back town boy back town boy back town boy back town boy back town spread word around boy back town boy back town boy back boy back boy back town hangin dinos boy back town,0.33747412008281574,0.48199920365414745,0.25645468925822046
