Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Since Way Back,"Drake,PARTYNEXTDOOR",64,153,"rap, r&b","R&B, Hip Hop",06:08,47,27,35,0,22,10,20,-11,C,4,8B,Drake,Since Way Back
2AM (feat. Tory Lanez & Davido),"Casanova,Tory Lanez,Davido",47,100,"brooklyn drill, afrobeats, afrobeat, afropop, afropiano, azonto, amapiano, hiplife, afroswing","R&B, Traditional Music, Electronic, Pop, Hip Hop",03:30,77,69,21,0,60,20,10,-6,C,4,8B,Casanova,2AM (feat. Tory Lanez & Davido)
Bang Your Line (feat. Ty Dolla $ign),"ELHAE,Ty Dolla $ign",40,96,,,03:44,62,42,21,0,30,20,10,-9,C minor,4,5A,ELHAE,Bang Your Line (feat. Ty Dolla $ign)
Sooner Than Later,Drake,58,95,rap,Hip Hop,04:22,62,50,18,0,51,20,10,-6,F minor,4,4A,Drake,Sooner Than Later
Bria's Interlude (feat. Omarion),"Drake,Omarion",68,147,"rap, r&b","R&B, Hip Hop",02:19,49,51,21,0,24,0,10,-6,D minor,3,7A,Drake,Bria's Interlude (feat. Omarion)
Avenue,H.E.R.,53,83,r&b,R&B,03:34,36,42,51,0,11,20,10,-11,G#/A♭,4,4B,H.E.R.,Avenue
Focus,H.E.R.,68,85,r&b,R&B,03:20,41,31,25,0,9,0,10,-13,C♯/D♭ minor,4,12A,H.E.R.,Focus
Changes,H.E.R.,51,100,r&b,R&B,03:33,67,33,35,0,21,0,0,-12,C minor,4,5A,H.E.R.,Changes
Wait For It,H.E.R.,44,79,r&b,R&B,02:15,74,35,20,0,29,20,10,-15,F,3,7B,H.E.R.,Wait For It
Gone Away,H.E.R.,48,77,r&b,R&B,04:09,37,34,67,0,30,10,10,-13,F#/G♭ minor,4,11A,H.E.R.,Gone Away
I Won't,H.E.R.,48,174,r&b,R&B,03:30,53,41,54,0,27,10,20,-11,C♯/D♭ minor,4,12A,H.E.R.,I Won't
Could've Been (feat. Bryson Tiller),"H.E.R.,Bryson Tiller",0,104,r&b,R&B,04:08,55,33,64,0,40,10,20,-12,C♯/D♭ minor,4,12A,H.E.R.,Could've Been (feat. Bryson Tiller)
Lotus Flower Bomb (feat. Miguel),"Wale,Miguel",72,70,r&b,R&B,03:33,51,60,61,0,35,10,0,-5,A minor,4,8A,Wale,Lotus Flower Bomb (feat. Miguel)
That Way (feat. Jeremih & Rick Ross),"Wale,Jeremih,Rick Ross",56,73,southern hip hop,Hip Hop,04:29,68,69,4,0,30,20,0,-6,F#/G♭ minor,4,11A,Wale,That Way (feat. Jeremih & Rick Ross)
Dangerous (feat. Jeremih and PnB Rock),"Meek Mill,Jeremih,PnB Rock",67,86,"rap, melodic rap",Hip Hop,03:53,73,49,5,0,56,30,0,-8,C,4,8B,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
The Need to Know (feat. SZA),"Wale,SZA",64,94,r&b,R&B,03:36,54,41,49,0,21,50,30,-14,G,4,9B,Wale,The Need to Know (feat. SZA)
Come and See Me (feat. Drake),"PARTYNEXTDOOR,Drake",3,85,"r&b, rap","R&B, Hip Hop",03:55,72,35,5,0,6,0,0,-10,B minor,4,10A,PARTYNEXTDOOR,Come and See Me (feat. Drake)
Planez,"Jeremih,J. Cole",0,129,rap,Hip Hop,04:00,66,54,69,0,40,30,10,-8,F#/G♭,4,2B,Jeremih,Planez
Wus Good / Curious,PARTYNEXTDOOR,10,83,r&b,R&B,03:32,34,54,7,0,45,0,20,-8,G#/A♭ minor,5,1A,PARTYNEXTDOOR,Wus Good / Curious
Czech Republic,Jeremih,0,123,,,03:38,80,33,54,0,33,10,0,-9,C,4,8B,Jeremih,Czech Republic
Impatient,"Jeremih,Ty Dolla $ign",69,179,,,04:05,70,40,11,0,44,0,10,-6,F minor,4,4A,Jeremih,Impatient
All The Time,"Jeremih,Lil Wayne,Natasha Mosley",68,110,"rap, hip hop, ",Hip Hop,04:24,68,44,55,0,3,30,20,-9,A minor,4,8A,Jeremih,All The Time
Fire & Desire,Drake,0,80,rap,Hip Hop,03:58,71,26,8,0,27,0,0,-14,C♯/D♭ minor,4,12A,Drake,Fire & Desire
Woosah,"Jeremih,Juicy J,Twista",0,79,"memphis rap, crunk, ",Hip Hop,05:29,62,32,42,0,32,70,10,-12,A minor,5,8A,Jeremih,Woosah
Sativa,"Jhené Aiko,Rae Sremmurd",56,126,"r&b, ",R&B,03:59,53,61,38,0,68,10,0,-7,F#/G♭ minor,4,11A,Jhené Aiko,Sativa
Recognize (feat. Drake),"PARTYNEXTDOOR,Drake",2,119,"r&b, rap","R&B, Hip Hop",05:11,64,54,1,0,17,0,10,-6,D,4,10B,PARTYNEXTDOOR,Recognize (feat. Drake)
Can't Believe It (feat. Lil' Wayne),"T-Pain,Lil Wayne",0,121,"rap, hip hop",Hip Hop,04:35,58,55,0,0,8,0,0,-8,A#/B♭ minor,5,3A,T-Pain,Can't Believe It (feat. Lil' Wayne)
I'm Sprung,T-Pain,9,100,,,03:51,72,33,9,0,17,10,0,-12,C minor,4,5A,T-Pain,I'm Sprung
I'm N Luv (Wit a Stripper) (feat. Mike Jones),"T-Pain,Mike Jones",1,145,"southern hip hop, crunk",Hip Hop,04:25,73,37,1,0,51,0,10,-10,G#/A♭,4,4B,T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones)
Let Me Explain,Bryson Tiller,68,120,r&b,R&B,03:43,81,50,0,0,53,10,0,-3,D,4,10B,Bryson Tiller,Let Me Explain
Priorities,"Sy Ari Da Kid,Bryson Tiller",0,96,r&b,R&B,05:42,46,9,78,0,20,0,10,-22,E minor,4,9A,Sy Ari Da Kid,Priorities
Redemption,Drake,69,120,rap,Hip Hop,05:33,69,31,61,0,34,10,10,-8,C,4,8B,Drake,Redemption
Shut It Down,"Drake,The-Dream",63,120,"rap, r&b","R&B, Hip Hop",06:59,59,43,41,0,40,0,10,-9,A minor,4,8A,Drake,Shut It Down
Over My Dead Body,Drake,75,186,rap,Hip Hop,04:32,49,57,76,0,58,30,10,-10,C♯/D♭,4,3B,Drake,Over My Dead Body
Shot For Me,Drake,73,143,rap,Hip Hop,03:44,57,47,6,0,18,20,50,-12,D,4,10B,Drake,Shot For Me
Crew Love,"Drake,The Weeknd",73,160,"rap, ",Hip Hop,03:28,42,55,23,0,29,20,20,-9,C minor,4,5A,Drake,Crew Love
Doing It Wrong,Drake,73,101,rap,Hip Hop,04:25,40,17,84,0,12,0,10,-16,F#/G♭ minor,4,11A,Drake,Doing It Wrong
Look What You've Done,Drake,74,134,rap,Hip Hop,05:01,50,35,49,0,27,30,10,-15,D#/E♭ minor,4,2A,Drake,Look What You've Done
Furthest Thing,Drake,0,137,rap,Hip Hop,04:27,48,78,15,0,27,10,0,-5,A minor,4,8A,Drake,Furthest Thing
U With Me?,Drake,66,175,rap,Hip Hop,04:57,43,43,34,0,13,10,10,-11,D,4,10B,Drake,U With Me?
4422,"Drake,Sampha",68,112,"rap, ",Hip Hop,03:06,61,23,56,4,19,0,10,-12,B minor,4,10A,Drake,4422
Nothings Into Somethings,Drake,65,97,rap,Hip Hop,02:33,77,23,33,0,26,10,30,-8,B minor,4,10A,Drake,Nothings Into Somethings
Lose You,Drake,65,90,rap,Hip Hop,05:05,53,58,70,0,38,30,30,-9,E,4,12B,Drake,Lose You
Peak,Drake,61,92,rap,Hip Hop,03:26,69,22,85,0,27,0,10,-14,A minor,4,8A,Drake,Peak
Jaded,Drake,73,116,rap,Hip Hop,04:22,76,27,4,0,4,0,10,-6,C,4,8B,Drake,Jaded
Keshia Had A Baby (feat. Rose Gold),"YG,Rose Gold",39,98,neo soul,R&B,03:57,85,49,2,0,23,10,0,-6,G#/A♭,4,4B,YG,Keshia Had A Baby (feat. Rose Gold)
I Think I Love You,Phora,0,115,,,03:30,54,45,61,0,47,50,0,-12,F#/G♭,5,2B,Phora,I Think I Love You
For However Long,Bryson Tiller,59,100,r&b,R&B,02:04,58,64,42,0,42,0,10,-7,F,4,7B,Bryson Tiller,For However Long
Birthday Sex,Jeremih,77,60,,,03:46,68,52,30,0,45,0,10,-6,G minor,4,6A,Jeremih,Birthday Sex
Needs,ELHAE,45,125,,,03:25,51,33,66,0,23,0,10,-13,B minor,4,10A,ELHAE,Needs
Selfish,PnB Rock,72,102,melodic rap,Hip Hop,04:05,64,60,11,0,4,0,10,-6,C♯/D♭ minor,4,12A,PnB Rock,Selfish
Issues (feat. Russ),"PnB Rock,Russ",45,84,"melodic rap, ",Hip Hop,03:52,66,64,20,0,21,0,10,-7,A,4,11B,PnB Rock,Issues (feat. Russ)
Blame,Bryson Tiller,66,115,r&b,R&B,02:07,73,38,3,0,32,10,10,-9,B minor,4,10A,Bryson Tiller,Blame
Trust Issues,Drake,80,89,rap,Hip Hop,04:41,42,54,78,0,52,20,10,-5,B minor,3,10A,Drake,Trust Issues
I Get Lonely,Drake,60,81,rap,Hip Hop,04:13,48,50,71,0,69,0,10,-9,B minor,4,10A,Drake,I Get Lonely
My Side,Drake,51,81,rap,Hip Hop,04:54,55,50,60,0,39,10,10,-6,F#/G♭ minor,4,11A,Drake,My Side
Girls Love Beyoncé (feat. James Fauntleroy),"Drake,James Fauntleroy",60,126,"rap, ",Hip Hop,03:45,62,49,78,0,33,40,10,-11,B minor,4,10A,Drake,Girls Love Beyoncé (feat. James Fauntleroy)
Paris Morton Music,Drake,63,172,rap,Hip Hop,04:11,51,49,41,0,14,30,10,-9,A#/B♭ minor,4,3A,Drake,Paris Morton Music
Not Nice,PARTYNEXTDOOR,1,128,r&b,R&B,03:22,60,50,3,0,73,0,10,-9,C,4,8B,PARTYNEXTDOOR,Not Nice
Right Now,PARTYNEXTDOOR,1,83,r&b,R&B,04:03,41,72,1,0,5,10,50,-3,A,4,11B,PARTYNEXTDOOR,Right Now
Her Way,PARTYNEXTDOOR,0,111,r&b,R&B,03:36,55,49,5,0,12,0,0,-10,C♯/D♭,4,3B,PARTYNEXTDOOR,Her Way
Surface,"Mustard,Ty Dolla $ign,Ella Mai",47,89,r&b,R&B,03:14,48,48,13,0,48,0,40,-8,F minor,4,4A,Mustard,Surface
CYANIDE,Daniel Caesar,53,158,,,03:14,59,65,70,0,49,30,10,-7,A#/B♭,4,6B,Daniel Caesar,CYANIDE
Heat (feat. Gunna),"Chris Brown,Gunna",66,82,"r&b, melodic rap","Hip Hop, R&B",03:52,62,61,6,0,48,0,10,-6,C,4,8B,Chris Brown,Heat (feat. Gunna)
Prada You,Lil Durk,0,150,drill,Hip Hop,02:38,79,61,1,0,50,30,10,-7,C♯/D♭ minor,4,12A,Lil Durk,Prada You
Canceled,Bryson Tiller,55,94,r&b,R&B,03:03,77,61,16,1,11,10,0,-5,F minor,4,4A,Bryson Tiller,Canceled
Poetic Justice,"Kendrick Lamar,Drake",77,136,"hip hop, west coast hip hop, rap",Hip Hop,05:00,78,57,16,0,64,30,20,-10,F#/G♭ minor,4,11A,Kendrick Lamar,Poetic Justice
D.T.B. (Interlude),A Boogie Wit da Hoodie,64,84,melodic rap,Hip Hop,04:47,59,85,71,0,45,50,10,-6,A#/B♭ minor,4,3A,A Boogie Wit da Hoodie,D.T.B. (Interlude)
Karaoke,Drake,54,151,rap,Hip Hop,03:47,76,65,1,3,95,10,0,-7,C,4,8B,Drake,Karaoke
Crooked Smile (feat. TLC),"J. Cole,TLC",7,81,"rap, ",Hip Hop,04:38,61,78,43,0,48,20,60,-6,G,4,9B,J. Cole,Crooked Smile (feat. TLC)
Love Yourz,J. Cole,2,76,rap,Hip Hop,03:31,50,62,61,0,40,40,10,-9,G#/A♭,1,4B,J. Cole,Love Yourz
Just Might (with PARTYNEXTDOOR),"Summer Walker,PARTYNEXTDOOR",71,105,r&b,R&B,03:25,69,38,67,0,18,0,10,-8,G,4,9B,Summer Walker,Just Might (with PARTYNEXTDOOR)
On Chill (feat. Jeremih),"Wale,Jeremih",66,171,,,03:34,60,73,13,0,64,40,10,-6,C♯/D♭,4,3B,Wale,On Chill (feat. Jeremih)
Stretch You Out (feat. A Boogie wit da Hoodie),"Summer Walker,A Boogie Wit da Hoodie",60,103,"r&b, melodic rap","Hip Hop, R&B",02:23,64,52,25,0,25,10,0,-7,C♯/D♭ minor,4,12A,Summer Walker,Stretch You Out (feat. A Boogie wit da Hoodie)
I'll Kill You (feat. Jhené Aiko),"Summer Walker,Jhené Aiko",69,104,r&b,R&B,02:59,68,44,43,0,36,10,10,-9,A#/B♭ minor,4,3A,Summer Walker,I'll Kill You (feat. Jhené Aiko)
Round II,Jacquees,45,122,r&b,R&B,04:02,76,58,37,0,64,10,30,-7,G#/A♭ minor,4,1A,Jacquees,Round II
LOYAL (feat. Drake),"PARTYNEXTDOOR,Drake",1,105,"r&b, rap","R&B, Hip Hop",03:17,87,53,52,0,20,0,0,-6,C minor,4,5A,PARTYNEXTDOOR,LOYAL (feat. Drake)
THE NEWS,PARTYNEXTDOOR,0,117,r&b,R&B,04:27,74,47,30,0,28,0,10,-8,G minor,4,6A,PARTYNEXTDOOR,THE NEWS
High Fashion (feat. Mustard),"Roddy Ricch,Mustard",72,98,"melodic rap, ",Hip Hop,03:40,83,50,27,0,51,10,30,-8,B minor,4,10A,Roddy Ricch,High Fashion (feat. Mustard)
Moonwalkin (feat. Lil Durk),"Roddy Ricch,Lil Durk",52,160,"melodic rap, drill",Hip Hop,02:47,78,58,2,0,30,20,10,-8,C♯/D♭ minor,4,12A,Roddy Ricch,Moonwalkin (feat. Lil Durk)
Bacc Seat (feat. Ty Dolla $ign),"Roddy Ricch,Ty Dolla $ign",64,145,"melodic rap, ",Hip Hop,02:52,78,52,4,0,15,10,0,-7,C♯/D♭,4,3B,Roddy Ricch,Bacc Seat (feat. Ty Dolla $ign)
Love... (Her Fault) [feat. Bryson Tiller],"Wale,Bryson Tiller",61,156,r&b,R&B,03:32,59,60,7,0,34,60,10,-7,G,4,9B,Wale,Love... (Her Fault) [feat. Bryson Tiller]
Purple Emoji (feat. J. Cole),"Ty Dolla $ign,J. Cole",55,144,rap,Hip Hop,02:43,71,54,15,0,82,20,30,-5,G#/A♭,4,4B,Ty Dolla $ign,Purple Emoji (feat. J. Cole)
Fall Thru,Meek Mill,54,157,rap,Hip Hop,03:42,56,81,38,0,63,30,20,-4,A,4,11B,Meek Mill,Fall Thru
Black Bonnie (feat. Jacquees),"Wale,Jacquees",36,93,r&b,R&B,02:57,69,52,48,0,48,40,40,-7,B,4,1B,Wale,Black Bonnie (feat. Jacquees)
Leave You Alone,"Jeezy,Ne-Yo",66,95,"southern hip hop, crunk, rap, gangster rap, ",Hip Hop,05:29,67,66,17,0,45,0,30,-8,B minor,4,10A,Jeezy,Leave You Alone
Catch The Sun - From  Queen & Slim: The Soundtrack ,Lil Baby,32,83,,,03:02,54,61,18,0,10,10,10,-7,C♯/D♭,4,3B,Lil Baby,Catch The Sun
Jerry Sprunger (with T-Pain),"Tory Lanez,T-Pain",64,100,,,03:53,76,75,14,0,45,20,0,-5,C minor,4,5A,Tory Lanez,Jerry Sprunger (with T-Pain)
"Verify (feat. Young Thug, Gunna)","Jacquees,Young Thug,Gunna",49,85,"r&b, rap, melodic rap, trap","Hip Hop, R&B",02:43,53,63,3,0,28,10,0,-5,C♯/D♭,4,3B,Jacquees,"Verify (feat. Young Thug, Gunna)"
FYT (with French Montana),"Jeremih,Ty Dolla $ign,French Montana",45,89,,,04:05,66,45,4,0,55,0,30,-9,C♯/D♭ minor,4,12A,Jeremih,FYT (with French Montana)
Here I Am,"Rick Ross,Nelly,Avery Storm",1,110,"southern hip hop, ",Hip Hop,03:29,75,72,19,0,48,10,0,-6,A#/B♭ minor,4,3A,Rick Ross,Here I Am
Body,Summer Walker,72,138,r&b,R&B,03:13,56,51,25,0,34,10,20,-6,B minor,4,10A,Summer Walker,Body
Drunk Dialing...LODT,Summer Walker,58,126,r&b,R&B,02:14,56,44,60,0,11,10,20,-7,A,3,11B,Summer Walker,Drunk Dialing...LODT
Time (feat. Roddy Ricch),"Fabolous,Roddy Ricch",46,176,melodic rap,Hip Hop,03:40,45,61,51,0,43,30,20,-7,F#/G♭,4,2B,Fabolous,Time (feat. Roddy Ricch)
1Hunnid,"K CAMP,Fetty Wap",57,88,,,03:35,79,41,9,0,46,10,10,-12,E,4,12B,K CAMP,1Hunnid
Blessing,K CAMP,45,126,,,02:48,62,40,28,0,22,0,10,-11,A minor,4,8A,K CAMP,Blessing
Tell Em,Rich Homie Quan,54,91,southern hip hop,Hip Hop,04:03,53,63,1,0,30,10,60,-8,F#/G♭,4,2B,Rich Homie Quan,Tell Em
DnF (feat. Drake & Future),"Preme,Drake,Future",54,77,rap,Hip Hop,03:25,71,60,8,0,55,30,30,-7,C minor,4,5A,Preme,DnF (feat. Drake & Future)
The Body (feat. Jeremih),"Wale,Jeremih",56,109,,,03:52,49,54,8,0,17,0,20,-8,A,4,11B,Wale,The Body (feat. Jeremih)
Comfortable,K CAMP,64,110,,,03:31,77,41,72,0,63,0,10,-9,G minor,4,6A,K CAMP,Comfortable
Ice Cold,K CAMP,38,118,,,03:15,94,42,8,0,60,10,10,-6,C♯/D♭,4,3B,K CAMP,Ice Cold
Hold You Down,"Quin Nfn,PnB Rock",0,170,melodic rap,Hip Hop,02:30,59,72,7,0,59,40,10,-5,F minor,4,4A,Quin Nfn,Hold You Down
Thug Love,A Boogie Wit da Hoodie,51,178,melodic rap,Hip Hop,03:01,54,64,43,0,33,20,10,-5,F minor,4,4A,A Boogie Wit da Hoodie,Thug Love
None Of Your Concern (feat. Big Sean),"Jhené Aiko,Big Sean",63,80,"r&b, ",R&B,04:19,46,52,86,0,38,20,10,-9,A minor,4,8A,Jhené Aiko,None Of Your Concern (feat. Big Sean)
Skrubs,Lil Durk,0,147,drill,Hip Hop,04:21,74,67,5,0,52,30,10,-6,G#/A♭ minor,4,1A,Lil Durk,Skrubs
India,Lil Durk,0,145,drill,Hip Hop,04:24,79,56,8,0,13,30,30,-7,C♯/D♭,4,3B,Lil Durk,India
Repeat After Me (Interlude),The Weeknd,64,95,,,03:15,56,62,3,0,14,0,0,-8,C,4,8B,The Weeknd,Repeat After Me (Interlude)
BELIEVE IT,"PARTYNEXTDOOR,Rihanna",2,158,"r&b, ",R&B,03:03,43,70,9,0,73,20,20,-5,F#/G♭,4,2B,PARTYNEXTDOOR,BELIEVE IT
"Psycho, Pt. 2",Russ,70,83,,,02:41,77,55,78,0,42,20,10,-4,A#/B♭,4,6B,Russ,"Psycho, Pt. 2"
NOTHING LESS,PARTYNEXTDOOR,0,120,r&b,R&B,03:28,61,30,75,1,31,0,10,-10,F minor,4,4A,PARTYNEXTDOOR,NOTHING LESS
TURN UP,PARTYNEXTDOOR,0,72,r&b,R&B,03:28,44,52,10,0,24,20,0,-9,C♯/D♭ minor,1,12A,PARTYNEXTDOOR,TURN UP
Trap House (feat. Shoreline Mafia),"03 Greedo,Shoreline Mafia",0,97,,,03:41,74,48,12,0,26,0,0,-6,C♯/D♭ minor,4,12A,03 Greedo,Trap House (feat. Shoreline Mafia)
Secret (feat. Summer Walker),"21 Savage,Summer Walker",53,130,r&b,R&B,03:30,73,50,9,0,50,10,10,-10,F minor,4,4A,21 Savage,Secret (feat. Summer Walker)
Euphoria (feat. Travis Scott & Kaash Paige),"Don Toliver,Kaash Paige,Travis Scott",63,70,rap,Hip Hop,03:36,58,31,52,0,10,0,10,-8,A minor,4,8A,Don Toliver,Euphoria (feat. Travis Scott & Kaash Paige)
What's On Your Mind (feat. Jacquees),"K CAMP,Jacquees",55,129,r&b,R&B,03:51,63,47,3,0,38,20,10,-9,C♯/D♭,4,3B,K CAMP,What's On Your Mind (feat. Jacquees)
Friendly (feat. Yung Bleu),"K CAMP,Yung Bleu",40,113,,,03:40,82,60,17,0,41,30,0,-8,C♯/D♭,4,3B,K CAMP,Friendly (feat. Yung Bleu)
In My Feelings,03 Greedo,0,140,,,02:51,79,52,3,0,26,10,0,-5,A minor,4,8A,03 Greedo,In My Feelings
Wet,YFN Lucci,0,128,,,03:29,70,64,24,0,32,20,30,-6,C♯/D♭ minor,4,12A,YFN Lucci,Wet
Me & My Bitch,"YG,Tory Lanez",0,82,,,03:31,74,62,7,0,33,20,30,-8,C,4,8B,YG,Me & My Bitch
Selfish,"Blxst,Bino Rideaux",44,101,,,02:16,56,41,79,0,58,30,10,-8,C♯/D♭ minor,4,12A,Blxst,Selfish
Like Me (with PnB Rock),"Pop Smoke,PnB Rock",59,120,"brooklyn drill, drill, new york drill, melodic rap",Hip Hop,03:10,61,61,40,0,56,40,20,-6,F minor,5,4A,Pop Smoke,Like Me (with PnB Rock)
Mood Swings (feat. Lil Tjay),"Pop Smoke,Lil Tjay",78,180,"brooklyn drill, drill, new york drill, melodic rap",Hip Hop,03:33,48,60,49,0,27,30,0,-6,A#/B♭ minor,4,3A,Pop Smoke,Mood Swings (feat. Lil Tjay)
Something Special,Pop Smoke,66,91,"brooklyn drill, drill, new york drill",Hip Hop,02:38,74,62,25,0,65,0,10,-7,G minor,4,6A,Pop Smoke,Something Special
Ride With Me,42 Dugg,0,150,,,01:56,70,65,1,0,30,0,30,-8,C,3,8B,42 Dugg,Ride With Me
Us vs. The World (feat. Chris Brown & Teyana Taylor),"Fabolous,Chris Brown,Teyana Taylor",47,82,"r&b, ",R&B,05:49,61,45,13,0,21,10,10,-10,F#/G♭ minor,4,11A,Fabolous,Us vs. The World (feat. Chris Brown & Teyana Taylor)
Overrated,Blxst,33,98,,,02:26,84,55,63,0,47,10,10,-6,C♯/D♭,4,3B,Blxst,Overrated
We Both Know,Derez De’Shon,0,115,,,03:30,57,68,7,0,35,10,10,-7,C♯/D♭,5,3B,Derez De’Shon,We Both Know
Actin' Different (feat. Dreezy),"Derez De’Shon,Dreezy",0,155,,,03:18,61,65,13,0,15,30,10,-6,G#/A♭,4,4B,Derez De’Shon,Actin' Different (feat. Dreezy)
Change Ya Life,"Shoreline Mafia,OHGEESY,Fenix Flexin",59,100,,,02:40,89,64,1,0,28,0,10,-7,G,4,9B,Shoreline Mafia,Change Ya Life
You Got It,Vedo,71,122,,,03:23,76,43,14,0,39,10,10,-9,F,4,7B,Vedo,You Got It
Beautiful Pain (Losin My Mind),Polo G,62,80,,,02:51,60,48,14,0,51,60,10,-10,C♯/D♭ minor,4,12A,Polo G,Beautiful Pain (Losin My Mind)
Substance,03 Greedo,0,71,,,03:39,60,32,26,0,20,0,10,-14,D#/E♭ minor,4,2A,03 Greedo,Substance
Throat Baby (Go Baby),BRS Kash,48,132,,,03:38,90,52,1,0,21,10,10,-7,E minor,4,9A,BRS Kash,Throat Baby (Go Baby)
Just Another Interlude,Bryson Tiller,64,93,r&b,R&B,03:04,58,55,16,0,52,30,20,-9,C♯/D♭,4,3B,Bryson Tiller,Just Another Interlude
Self Righteous,Bryson Tiller,64,100,r&b,R&B,04:01,52,58,20,0,23,20,20,-7,G,3,9B,Bryson Tiller,Self Righteous
Always Forever,Bryson Tiller,60,147,r&b,R&B,02:50,61,49,17,0,33,10,10,-7,A#/B♭ minor,4,3A,Bryson Tiller,Always Forever
I'm Ready For You,Bryson Tiller,56,179,r&b,R&B,02:54,74,64,23,0,89,40,10,-6,C minor,4,5A,Bryson Tiller,I'm Ready For You
Things Change,Bryson Tiller,54,146,r&b,R&B,03:34,76,61,25,0,49,30,10,-5,A minor,5,8A,Bryson Tiller,Things Change
Time,"Blxst,Bino Rideaux",47,100,,,02:33,74,28,80,0,74,0,10,-11,C minor,4,5A,Blxst,Time
Right Now,"Blxst,Bino Rideaux",38,102,,,02:29,63,50,73,0,27,10,10,-8,A#/B♭,4,6B,Blxst,Right Now
Trust,Brent Faiyaz,78,92,r&b,R&B,02:38,76,39,23,0,47,10,10,-9,G#/A♭,4,4B,Brent Faiyaz,Trust
You Belong To Somebody Else,"DeJ Loaf,Jacquees",67,115,r&b,R&B,03:38,79,47,33,0,29,0,20,-7,C♯/D♭ minor,4,12A,DeJ Loaf,You Belong To Somebody Else
Timeless Interlude,Bryson Tiller,54,149,r&b,R&B,02:59,47,43,82,0,24,10,10,-9,F#/G♭ minor,4,11A,Bryson Tiller,Timeless Interlude
Hit Different,"SZA,The Neptunes,Pharrell Williams,Ty Dolla $ign",71,120,"r&b, ",R&B,03:22,68,52,20,0,72,0,10,-6,C minor,4,5A,SZA,Hit Different
Go Crazy,"Chris Brown,Young Thug",76,94,"r&b, rap, melodic rap, trap","Hip Hop, R&B",02:56,76,58,32,0,58,10,20,-9,C minor,4,5A,Chris Brown,Go Crazy
India Pt. 3,Lil Durk,0,160,drill,Hip Hop,02:09,66,53,20,0,43,50,10,-13,A,4,11B,Lil Durk,India Pt. 3
Wanted You (feat. Lil Uzi Vert),"NAV,Lil Uzi Vert",62,147,melodic rap,Hip Hop,03:48,80,73,23,0,63,0,20,-4,A minor,4,8A,NAV,Wanted You (feat. Lil Uzi Vert)
PERSIAN RUGS,PARTYNEXTDOOR,1,110,r&b,R&B,02:54,77,43,5,0,15,0,10,-8,C♯/D♭ minor,4,12A,PARTYNEXTDOOR,PERSIAN RUGS
You're Mines Still,Yung Bleu,48,82,,,03:41,56,47,37,0,46,30,10,-8,F minor,1,4A,Yung Bleu,You're Mines Still
Miss It,Bino Rideaux,9,100,,,03:32,79,45,41,0,48,10,10,-11,D#/E♭ minor,4,2A,Bino Rideaux,Miss It
Tell Me,Kee Riche$,24,81,,,03:10,41,41,39,0,27,20,10,-12,G minor,3,6A,Kee Riche$,Tell Me
Love Song,"Kalan.FrFr,Damar Jackson",0,75,,,03:12,68,57,39,0,59,10,10,-8,A minor,4,8A,Kalan.FrFr,Love Song
Wake It Up,"Blxst,Bino Rideaux",53,98,,,02:40,69,38,76,0,23,0,30,-14,G#/A♭,4,4B,Blxst,Wake It Up
Bacc Home,"Blxst,Bino Rideaux",43,105,,,03:02,85,40,37,0,29,40,10,-12,B minor,4,10A,Blxst,Bacc Home
Fine Ass,Kalan.FrFr,0,100,,,03:09,80,57,24,0,26,0,10,-6,G,4,9B,Kalan.FrFr,Fine Ass
Cry to Me,Kalan.FrFr,0,150,,,02:35,63,30,11,0,18,10,0,-15,G#/A♭ minor,4,1A,Kalan.FrFr,Cry to Me
Hold You Down,Kalan.FrFr,0,130,,,02:17,76,33,12,0,14,10,10,-13,E minor,4,9A,Kalan.FrFr,Hold You Down
On Your Mind,Kalan.FrFr,0,184,,,02:28,53,19,45,0,20,0,0,-16,G minor,4,6A,Kalan.FrFr,On Your Mind
About Us,Kalan.FrFr,0,151,,,02:41,59,55,3,0,20,30,10,-8,C♯/D♭,4,3B,Kalan.FrFr,About Us
PEACE OF MIND,PARTYNEXTDOOR,0,99,r&b,R&B,05:03,78,37,28,0,43,0,0,-5,C♯/D♭ minor,4,12A,PARTYNEXTDOOR,PEACE OF MIND
Show Me Up,Lil Tecca,54,128,"melodic rap, rap",Hip Hop,02:46,67,45,16,0,22,0,0,-10,F#/G♭ minor,4,11A,Lil Tecca,Show Me Up
She Don't (feat. Ty Dolla $Ign),"Ella Mai,Ty Dolla $ign",72,100,"r&b, ",R&B,04:24,65,48,27,0,15,0,10,-8,G minor,4,6A,Ella Mai,She Don't (feat. Ty Dolla $Ign)
Movie,"Blxst,Bino Rideaux",39,95,,,02:07,44,61,24,0,66,10,10,-6,F,4,7B,Blxst,Movie
late at night,Roddy Ricch,61,99,melodic rap,Hip Hop,02:54,64,40,34,0,11,40,10,-11,C♯/D♭ minor,4,12A,Roddy Ricch,late at night
