Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Live,Loud,Camelot,Lyrics,Time,Genre,Subgenre
Crystal,Fleetwood Mac,45,124,56,13,56,17,0,-21,9A,"Do you always trust your first, initial feeling?
Special knowledge holds true, bears believing
I turned around and the water was closing all around
Like a glove, like the love that had finally, finally found me

Then I knew in the crystalline knowledge of you
Drove me through the mountains
Through the crystal-like and clear water fountain
Drove me like a magnet, to the sea
To the sea
To the sea, yeah

How the faces of love have changed, turning the pages
And I have changed, oh, but you, you remain ageless
I turned around and the water was closing all around
Like a glove, like the love that had finally, finally found me

Then I knew in the crystalline knowledge of you
Drove me through the mountains
Through the crystal-like and clear water fountain
Drove me like a magnet, to the sea
To the sea
To the sea, yeah
To the sea, yeah",314,rock,rock 70s
Shampoo Bottles,Peach Pit,65,107,65,44,2,33,0,-10,4B,"I’ve been leaving your shampoo bottles
Over in the corner there
Sitting empty on the bathtub rail
Wishing they could wash your hair
Yeah, I keep em by that crumb of fancy soap
And your toothbrush at my bathroom sink
Your cell phone chargers still hanging from the wall
Haven’t chucked it all, like you'd think
Though you haven’t been around in weeks

I’ve run out of my Speed Stick, honey
So I have been using yours
It's frickin trash, all that organic hoo hah
From one of your health food stores
It is seemingly worsened everyday
All this shit of yours around my house
If I could’ve had it any other way
Then by now I would’ve chucked it out
But it seems to wanna stick around

I’ve been leaving you in radio silence
Though I’d love to catch a pass
Waited long enough that I could never call you
Baby, how fucked is that?
And it’s all just so forgettable
Til I’m sitting with your stuff alone
Man, why can’t I just let it go?

I’ve been seeing that red Corolla parked out on the corner there
If it were yours, there’d be some hippie bullshit hanging from the rearview mirror
As I’m passing it every other day
I look in to see if this one’s yours
But the shape it’s in is giving it away
Yours is dented up and down the doors
Never wanted to see it more

I’ve been leaving you in radio silence
Though I’d love to catch a pass
Waited long enough that I could never call you
Baby, how fucked is that?
And it’s all just so forgettable
Til I’m sitting with your stuff alone
Man, why can’t I just let it go?",224,indie,indie pop
Ice Cold Pool,Wallows,51,103,57,66,1,36,10,-6,9B,"We both lost our innocence
To 'Heaven or Las Vegas'
Bedroom rearranged again
And snow out on the pavement

Colors from outside
Bathed in orange and white
Let's invite your friends for a backseat drive

It's not a crime if you take what's given
It's just a crime if you're payin' for it
What's the fun if you know what's comin'?
I don't want to escape it

Standing outside of your house
It's pretty dark out
Good thing there's lights
It's pretty cold though
I just need you right here
To warm me up this time

Words turn to a cough
You say I'll never get you off
Now when you stand in a crowd
Is your mind in the gutter?
Your head on the run
(Your head on the run)

It's not a crime if you take what's given
It's just a crime if you're payin' for it
What's the fun if you know what's comin'?
I don't want to escape it

The plant inside that never seemed to die
You cut it down before the leaves were brown
The gate was closed, we know that we're too old
The pool is cold, the pool is cold

It's not a crime if you take what's given
It's just a crime if you're payin' for it
What's the fun if you know what's comin'?
I don't want to escape this feeling
And when we tear down the walls completely
Are we left with the same old memories?
There's a song that I still hear faintly
It's just a recipe for my love
It's just a recipe for my love",237,indie,indie pop
Dancing In The Flames,The Weeknd,80,117,55,73,0,16,0,-6,3B,"(Yeah)

Traffic dies while we are racin' home
Melted lights cover the open road
I hope we make it 'cause I've been chasin'
Another odyssey, oh

I can't wait to see your face
Crash when we're switchin' lanes
My love's beyond the pain
But if I miss the brake
We're dancin' in the flames
It's indescribable

Ooh, yeah

""The world can't heal,"" they say on the radio (Oh, no)
So grab the wheel, want you to be in control
We're dodgin' headlights, and you say, ""Hold tight""
Another odyssey, oh (Hey)

I can't wait to see your face
Crash when we're switchin' lanes
My love's beyond the pain
But if I miss the brake
We're dancin' in the flames
It's indescribable

Ooh (Indescribable), oh
Ooh

Everything's faded, we barely made it
The fire's ragin' but you're still beautiful
And it's amazin' 'cause I can taste it
Our final odyssey, oh

I can't (I can't) wait to see your face (Can't wait to see, ha)
Crash when we're switchin' lanes
My love's beyond the pain (Hey)
But if I miss the brake
We're dancin' in the flames (Dancin' in the flames)
So just have faith (Just have faith in me)
We'll never be the same (We'll never be, never be)
It's indescribable

Ooh (Indescribable), oh, hey
Ooh (Indescribable)",220,dance,dance pop
Walcott,Vampire Weekend,48,161,40,56,51,59,20,-5,7B,"Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, Mystic Seaport is that way
Don't you know that your life could be lost
Out of Cape Cod tonight?

Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, the bottleneck is a shit show
Hyannisport is a ghetto
Out of Cape Cod tonight

The lobster's claw is sharp as knives
Evil feasts on human lives
The Holy Roman Empire roots for you

Walcott, all the way to New Jersey
All the way to the Garden State
Out of Cape Cod tonight
Walcott, fuck the women from Wellfleet
Fuck the bears out in Provincetown
Heed my words and take flight

Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?",221,indie,indie rock
Wanna Be Startin' Somethin',Michael Jackson,67,122,84,87,3,91,0,-8,11B,"I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

I took my baby to the doctor with a fever
But nothin' he found
By the time this hit the street
They said she had a breakdown
Someone's always tryin'
To start my baby cryin'
Talkin', squealin', lyin'
Sayin' you just want to be startin' somethin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

You love to pretend that you're good
When you're always up to no good
You really can't make him hate her
So your tongue became a razor
Someone's always tryin'
To keep my baby cryin'
Treacherous, cunnin', declinin'
You got my baby cryin' (Hee)

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
You're a vegetable (You're a vegetable)
You're a vegetable (You're a vegetable)
Still, they hate you (Still, they hate you)
You're a vegetable (You're a vegetable)
You're just a buffet (You're just a buffet) (You're a vegetable)
You're a vegetable (You're a vegetable)
They eat off of you (They eat off of you) (You're a vegetable)
You're a vegetable, aaow!

Billie Jean is always talkin' when nobody else is talkin'
Tellin' lies and rubbin' shoulders
So they called her mouth a motor
Someone's always tryin'
To start my baby cryin'
Talkin', squealin', spyin'
Sayin' you just want to be startin' somethin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
You're a vegetable (You're a vegetable)
You're a vegetable (You're a vegetable)
Still, they hate you (Still, they hate you)
You're a vegetable (You're a vegetable)
You're just a buffet (You're just a buffet) (You're a vegetable)
You're a vegetable (You're a vegetable)
They eat off of you (They eat off of you) (You're a vegetable)
You're a vegetable, ow!

Ow!
Yee-haw! (Ooh!)

If you can't feed your baby (Yeah, yeah)
Then don't have a baby (Yeah, yeah)
And don't think maybe (Yeah, yeah)
If you can't feed your baby (Yeah, yeah)
You'll be always tryin'
To stop that child from cryin'
Hustlin', stealin', lyin'
Now, baby's slowly dyin'

I said you wanna be startin' somethin'
You got to be startin' somethin'
I said you wanna be startin' somethin'
You got to be startin' somethin'
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)
It's too high to get over (Yeah, yeah)
You're too low to get under (Yeah, yeah)
You're stuck in the middle (Yeah, yeah)
And the pain is thunder (Yeah, yeah)

Lift your head up high and scream out to the world
""I know I am someone,"" and let the truth unfurl (Hee-ha)
No one can hurt you now because you know what's true
Yes, I believe in me, so you believe in you

Help me sing it
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee, hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it, babe)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah, sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it out loud)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo-hoo)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee, hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Help me sing it, babe)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee-hee-hee)
Mama-say, mama-sa, ma-ma-ko-ssa (Hee)
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa (Yeah)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it to the world)
Mama-say, mama-sa, ma-ma-ko-ssa (Sing it out loud)
Mama-say, mama-sa, ma-ma-ko-ssa (Hoo, hoo)
Mama-say, mama-sa, ma-ma-ko-ssa",363,pop,pop 80s
Raging Fire,Phillip Phillips,56,126,56,83,1,45,0,-5,9B,"We are dead to rights born and raised
We are thick and thin 'til our last day
So hold me close and I'll surrender
To your heart
You know how to give and how to take
You see every hope I locked away
So pull me close and surrender
To my heart

Before the flame goes out tonight
Yeah, we'll live until we die

So come out, come out, come out
Won't you turn my soul, into a raging fire?
Come out, come out, come out
'Til we lose control, into a raging fire
Into a raging fire
Come out, come out, come out
Won't you turn my soul
Into a raging fire?

You know time will give and time will take
All the memories made will wash away
Even though we've changed, I'm still here with you
If you listen close, you'll hear the sound
Of all the ghosts that bring us down
Hold on to what makes you feel
Don't let go, it's what makes you real

If the flame goes out tonight
Yeah, we'll live until we die

So come out, come out, come out
Won't you turn my soul into a raging fire?
Come out, come out, come out
'Til we lose control into a raging fire
Into a raging fire
Come out, come out, come out
Won't you turn my soul
Into a raging fire?

Let the world leave us behind
Let your heart be next to mine
For the flame goes out tonight
We can live until we die
Come out, come out, come out
Won't you turn my soul, into a raging fire?

Come out, come out, come out
Won't you turn my soul, into a raging fire?
Come out, come out, come out
'Til we lose control, into a raging fire

Into a raging fire",234,folk,folk rock
Mistaken (feat. Alex Aris),"Martin Garrix,Matisse & Sadko,Alex Aris",51,128,42,69,6,8,10,-5,11A,"Oh, we've been at it for so, so long
And you keep telling me that I’m wrong
And your eyes only see what they want to see
And now you're blinded when I leave

And all I say is no
I am not mistaken
This time, I am sure
No, I'm not mistaken
Whatever it is, I am sure
I am sure

I am sure
I am sure

I am sure
I am sure

Oh, I’ve been waiting for the day
When things will never ever be the same
Locked down 'cause we're already in too deep
They lie when they claim we are asleep

And all I say is
No, I'm not mistaken
This time, I am sure
No, I'm not mistaken
Whatever it is, I am sure
I am sure

I am sure
I am sure
Mistaken (Mistaken)
Mistaken (Mistaken)

I am sure
Mistaken (Mistaken)
I am sure",282,electronic,electronic dance
Pompeii,Bastille,80,127,68,72,8,57,20,-6,11B,"Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu

I was left to my own devices
Many days fell away with nothing to show

And the walls kept tumbling down in the city that we love
Grey clouds roll over the hills, bringing darkness from above

But if you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like nothing changed at all? (Eh-eheu, eheu, eh-eheu, eheu)
And if you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like you've been here before? (Eh-eheu, eheu, eh-eheu, eheu)
How am I gonna be an optimist about this? (Ah, ah)
How am I gonna be an optimist about this? (Ah, ah)

We were caught up and lost in all of our vices
In your pose as the dust settled around us

And the walls kept tumbling down in the city that we love
Grey clouds roll over the hills, bringing darkness from above

But if you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like nothing changed at all? (Eh-eheu, eheu, eh-eheu, eheu)
And if you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like you've been here before? (Eh-eheu, eheu, eh-eheu, eheu)
How am I gonna be an optimist about this? (Ah, ah)
How am I gonna be an optimist about this? (Ah, ah)
(Eheu, eheu, eh-eheu, eheu)
(Eh-eheu, eheu, eh-eheu, eheu)

Oh, where do we begin, the rubble or our sins?
Oh-oh, where do we begin, the rubble or our sins?
And the walls kept tumbling down in the city that we love (Oh, where do we begin, the rubble or our sins?)
Grey clouds roll over the hills bringing darkness from above (Oh, where do we begin, the rubble or our sins?)

But if you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like nothing changed at all? (Eh-eheu, eheu, eh-eheu, eheu)
And if you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like you've been here before? (Eh-eheu, eheu, eh-eheu, eheu)
Oh, how am I going to be an optimist about this? (Ah, ah)
How am I going to be an optimist about this? (Ah, ah)
If you close your eyes (Eheu, eheu, eh-eheu, eheu), does it almost feel like nothing changed at all? (Eh-eheu, eheu, eh-eheu, eheu)

Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu
Eh-eheu, eheu",214,indie,indie pop
Black Magic Woman,Fleetwood Mac,56,130,55,44,6,54,0,-9,8A,"Got a black magic woman
I got a black magic woman
Yes, I got a black magic woman
She's got me so blind I can't see
But she's a black magic woman
And she's trying to make a Devil out of me

Don't turn your back on me baby
Don't turn your back on me baby
Yes, don't turn your back on me baby
You're messing around with your tricks
Don't turn your back on me baby
Because you might just break up my magic stick

You got your spell on me baby
You got your spell on me baby
Yes, you got your spell on me baby
You're turning my heart into stone
I need you so bad, magic woman
I can't leave you alone

Yes, I need you so bad
Well, I need you darling
Yeah, I need you darling
Yes, I want you to love me
I want you to love me
Whoa, I want you to love me, ah
Whoh, yeah
Oh, whoa, baby
Yes, I need your love
Oh, I need your love so bad
Yes, I want you to love me",166,rock,rock
So Good,B.o.B,67,86,66,90,4,59,20,-5,9B,"Strange Clouds’ second single details B.o.B’s plans for taking a girl on an “all over the world” trip. The song has been certified Double Platinum in the USA.
Drinking a German beer, with a Cuban cigar
In the middle of Paris with a Dominican broad
Great head on her shoulders, she probably studied abroad
She transferred to Harvard from King's College in March
She says that I'm her favorite 'cause she admires the art
Michelangelo with the flow, Picasso with the bars
She's well put together like a piece by Gershwin
Renaissance style, tonight is picture perfect, so smile

And pack your bags real good, baby
'Cause you'll be gone for a while, while, while

Girl, tell me how you feel, what's your fantasy oh
I see us on a beach down in Mexico
You can put your feet up, be my señorita
We ain't gotta rush, just take it slow
You'll be in the high life, soaking up the sunlight
Anything you want is yours
I'll have you living life like you should
You'll say you never had it so good

La, la la, la la, la la, la, la la
You never had it so good
La, la la, la la, la la, la, la la

Suffering from first class cabin fever
Five hour layovers from Norway to Egypt
I'm to the point like the pyramids of Giza
Still I'm to the left like the tower out in Pisa
I'm feeling single baby, I could use a feature
Swagger like Caesar, I'll get you a visa
We can go to Italy and maybe see the Colosseum
I'll be Da Vinci if you'll be my Mona Lisa, now smile

So pack your bags real good, baby
'Cause you'll be gone for a while, while, while

Girl, tell me how you feel, what's your fantasy oh
I see us on a beach down in Mexico
You can put your feet up, be my señorita
We ain't gotta rush, just take it slow
You'll be in the high life, soaking up the sunlight
Anything you want is yours
I'll have you living life like you should
You'll say you never had it so good

La, la la, la la, la la, la, la la
You never had it so good
La, la la, la la, la la, la, la la
You never had it so good

Well I been feeling singular, how 'bout let's make it plural
Spin the globe, wherever it lands that's where we'll go
We'll hit up Europe, yep, and spend some Euros
And maybe visit Berlin, the walls with the murals
This is your month baby, sign of the Virgo
Private reservations, glasses full of Merlot
A Rosé, a Burgundy, traveling like turbo
Brush up on your Español, we're Barcelona-bound, so smile

So pack your bags real good, baby
'Cause you'll be gone for a while, while, while

Girl, tell me how you feel, what's your fantasy oh
I see us on a beach down in Mexico
You can put your feet up, be my señorita
We ain't gotta rush, just take it slow
You'll be in the high life, soaking up the sunlight
Anything you want is yours
I'll have you living life like you should
You'll say you never had it so good

La, la la, la la, la la, la, la la
You never had it so good
La, la la, la la, la la, la, la la
You never had it so good
La, la la, la la, la la, la, la la
You never had it so good
La, la la, la la, la la, la, la la
You never had it so good",213,hip hop,hip hop pop
Come To My Window,Melissa Etheridge,59,97,51,64,8,50,0,-10,9B,"Come to my window
Crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon

I would dial the numbers
Just to listen to your breath
And I would stand inside my hell
And hold the hand of death
You don't know how far I'd go
To ease this precious ache
And you don't know how much I'd give
Or how much I can take

Just to reach you
Just to reach you
Oh, to reach you
Oh

Come to my window
Crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon

Keeping my eyes open
I cannot afford to sleep
Giving away promises
I know that I can't keep
Nothing fills the blackness
That has seeped into my chest
I need you in my blood
I am forsaking all the rest

Just to reach you
Just to reach you
Oh, to reach you
Oh

Come to my window
Crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon

I don't care what they think
I don't care what they say
What do they know about this love
Anyway?
Come, come to my window
I'll be home, I'll be home, I'll be home, I
I'm coming home

Come to my window
Oh, crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon
I'll be home, I'll be home
I'm coming home
Come to my window
Oh, crawl inside
Wait by the light of the moon
Come to my window
I'll be home soon
I'll be home, I'll be home, I'll be home",236,rock,rock 90s
When I B On Tha Mic,Rakim,64,96,84,48,5,84,0,-7,10B,"Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
I'm internationally known, yo
Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
So all hail the honorable

It's to my real ill niggas, heavyweight hitters
Dough-getters, fifty ways to make figures
My niggas that come on the spot to feel sisters
Like they hear real spitters and kids on the zigga-ziggas
When it's ugly, then the club is lovely
Thugs be sippin' Hennessy and bubbly
To my comrades that keep it flamin' hot
On dangerous blocks, claimin' spots
Where the goal is to be one of the top-ranked soldiers
Forty-five holders, one of the high rollers
Get respect in the hood, credit is good
Knock it down lumberjack style, baby; extra wood
Rock it all night long, the bang-a-thon, baby, keep hangin' on
We like it with the lights on
Don't have to blow twenty thou' to get to know honey's style
Show her the town, steal her heart, no money down!

Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
I'm internationally known, yo
Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
So all hail the honorable

How about some hardcore? Yeah, we like it raw for sure
Broads on the floor, wall to wall
There's more at the door, players ball to score
‘Cause this right here is for all of y'all
Rakim and Preemo — yo, I got what you need, bro
You go see a show, smokin' El Niño
And DJ's play hits with hard bass kicks
And then they display tricks like The Matrix
Make the record fly, undetected by the naked eye
So just feel the vibe, ‘cause your ears never lie
Nowadays, DJ's bags of tricks–graphic
On some behind-the-back shit, catch it and scratch it
Blast it! This kid got his craft mastered
Hands is mad quick like he mix with magic
Spin it back and forth and grab it
And know just where it is… there it is!

Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
I'm internationally known, yo
Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
So all hail the honorable

To my elite peeps with the murderous mystiques
I hit the street with beats and they critique for weeks
They be like: ""How that kid Ra reach the peak?""
Pull out the heat and use my technique to speak
It's dangerous, sit calm and explain to kids
What part of the game this is in foreign languages
They hold Ra's events in different continents
Put my lyrical contents in monuments
In ghetto garments, I rock a towel like a pharaoh
Mind travel, design style like apparel
My fashions last long as a lifetime
‘Cause I can see the future when the god write rhyme
They're mad ‘cause I managed to reign so long
Like their chance to get money done came and gone
This is strictly for my listeners on the corners at night
And the sisters that be keepin' us right, when I be on the mic

Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
I'm internationally known, yo
Hardcore! Real ill niggas!
I'm internationally known when I be on the mic
Hardcore! Real ill niggas!
So all hail the honorable",222,hip hop,hip hop
Just A Girl,No Doubt,77,108,64,91,7,77,10,-5,10B,"Take this pink ribbon off my eyes
I'm exposed, and it's no big surprise
Don't you think I know exactly where I stand?
This world is forcing me to hold your hand

'Cause I'm just a girl, oh, little old me
Well, don't let me out of your sight
Oh, I'm just a girl, all pretty and petite
So don't let me have any rights

Oh, I've had it up to here

The moment that I step outside
So many reasons for me to run and hide
I can't do the little things I hold so dear
'Cause it's all those little things that I fear

'Cause I'm just a girl, I'd rather not be
'Cause they won't let me drive late at night
Oh, I'm just a girl, guess I'm some kind of freak
'Cause they all sit and stare with their eyes
Oh, I'm just a girl, take a good look at me
Just your typical prototype

Oh, I've had it up to here
Oh, am I making myself clear?

I'm just a girl
I'm just a girl in the world
That's all that you'll let me be

Oh, I'm just a girl, living in captivity
Your rule of thumb makes me worrisome
Oh, I'm just a girl, what's my destiny?
What I've succumbed to is making me numb
Oh, I'm just a girl, my apologies
What I've become is so burdensome
Oh, I'm just a girl, lucky me
Twiddle-dum, there's no comparison

Oh, I've had it up to
Oh, I've had it up to
Oh, I've had it up to here",209,rock,rock 90s
U With Me?,Drake,66,175,43,43,34,13,10,-11,10B,"What these bitches want from a nigga?

On some DMX shit
I group DM my exes
I tell 'em they belong to me, that goes on for forever
And I think we just get closer when we not together
You tell me that I'm confusin'
More immature than Marques Houston
Cuts too deep for a band-aid solution
We too deep in this thing, you'll never lose me
LOLOL, I'm glad you find this shit amusin'
Heard a lot about me 'fore we started off
I know you heard that my pool parties like Mardi Gras
I know you heard that my girl is sponsored by Audemars
That's why she always correctin' me when my time is off
And my house is the definition
Of alcohol and weed addiction
You got a different vision
You wanna walk around naked in the kitchen
Without runnin' into one of my niggas
That's not the way we livin'
Too much goin' on, it's just not realistic
These days I don't talk 'bout them days like I miss 'em
And you shouldn't miss 'em either, we different people
But every time we speakin'

It's like a lot of games bein' played
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
It's like a lot of games are bein' played
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah

I wanna know how much time you spent on them paragraphs
Where you get at me
All that grey in our conversation history, you
Playin' mind games, when you sayin' things
Playin' mime games, we both doin' the same thing
Slide on a late night
You like to slide on a late night
You sent a ""Are you here?"" text without an invite
That's that shit that I don't like
We both slide on a late night
Do things in our off time
We both, yeah
Made some mistakes, pon road
Yeah, how's that for real?
You toyin' with it like Happy Meal
3 dots, you thinkin' of a reaction still
While you're typin', make sure you tell me

What type of games are bein' played?
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
What type of games are bein' played?
How's it goin' down?
If it's on 'til we gone, then I gots to know now
Is you wit' me or what?
Yeah
Yeah, remember you was livin' at The London for a month
Service elevator up to 4201
We was still a secret, couldn't come in through the front
Girl, I had your back when all you used to do was front
That's for sure though, I made a career off reminiscin'
Time got a funny way of tickin', things are so much different
I'll admit it, I've admitted to a lot of things
Act like you know it, fuck them stories, fuck the shade they throwin'
Understand I got responsibilities to people that I need
And on my way to make this dough
A lot of niggas cut the check so they can take this flow
A lot of niggas cut the check so they can take this flow
Ohhh, ohhh
Tryna give your ass the world
You runnin' your fingers through my curls
You knew me when the kid had waves
But that's enough of that
You could never say I came up and forgot about your ass
And that's some real shit",297,hip hop,hip hop pop
The Funeral,Band of Horses,73,122,32,76,2,10,10,-6,5A,"I'm coming up only to hold you under
And coming up only to show you wrong
And to know you is hard, we wonder
To know you all wrong, we won

Ooh
Ooh

Really too late to call, so we wait for
Morning to wake you is all we got
But to know me as hardly golden
Is to know me all wrong, they won

At every occasion, I'll be ready for the funeral
At every occasion once more, it's called the funeral
At every occasion, oh, I'm ready for the funeral
At every occasion of one billion day funeral

I'm coming up only to show you down for
And coming up only to show you wrong
To the outside, the dead leaves they own the lawn
'Fore they died and had trees to hang there upon

Ooh
Ooh

At every occasion, I'll be ready for the funeral
At every occasion once more, it's called the funeral
At every occasion, oh, I'm ready for the funeral
At every occasion of one billion day funeral
---",322,indie,indie rock
